benchmark,solver,score
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir2/formula_260.smt2,solver0,3.26164
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir2/formula_260.smt2,solver1,0.0280459
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir2/formula_260.smt2,solver2,0.028324
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir2/formula_260.smt2,solver3,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir2/formula_260.smt2,solver4,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir2/formula_260.smt2,solver5,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir2/formula_260.smt2,solver6,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir2/formula_260.smt2,solver7,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir2/formula_260.smt2,solver8,0.71904
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_101.smt2,solver0,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_101.smt2,solver1,0.0365161
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_101.smt2,solver2,0.037288
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_101.smt2,solver3,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_101.smt2,solver4,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_101.smt2,solver5,0.168765
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_101.smt2,solver6,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_101.smt2,solver7,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_101.smt2,solver8,9.97738
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir6/formula_158.smt2,solver0,3.33526
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir6/formula_158.smt2,solver1,0.747029
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir6/formula_158.smt2,solver2,0.755369
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir6/formula_158.smt2,solver3,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir6/formula_158.smt2,solver4,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir6/formula_158.smt2,solver5,0.550372
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir6/formula_158.smt2,solver6,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir6/formula_158.smt2,solver7,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir6/formula_158.smt2,solver8,310.829
/p/graves/smtFiles/NRA/keymaera/ETCS-essentials-live2.proof-node1001.smt2,solver0,2400
/p/graves/smtFiles/NRA/keymaera/ETCS-essentials-live2.proof-node1001.smt2,solver1,0.143823
/p/graves/smtFiles/NRA/keymaera/ETCS-essentials-live2.proof-node1001.smt2,solver2,0.144989
/p/graves/smtFiles/NRA/keymaera/ETCS-essentials-live2.proof-node1001.smt2,solver3,2400
/p/graves/smtFiles/NRA/keymaera/ETCS-essentials-live2.proof-node1001.smt2,solver4,2400
/p/graves/smtFiles/NRA/keymaera/ETCS-essentials-live2.proof-node1001.smt2,solver5,0.227962
/p/graves/smtFiles/NRA/keymaera/ETCS-essentials-live2.proof-node1001.smt2,solver6,2400
/p/graves/smtFiles/NRA/keymaera/ETCS-essentials-live2.proof-node1001.smt2,solver7,0.0591269
/p/graves/smtFiles/NRA/keymaera/ETCS-essentials-live2.proof-node1001.smt2,solver8,0.0211281
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_155.smt2,solver0,126.573
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_155.smt2,solver1,0.040351
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_155.smt2,solver2,0.0391291
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_155.smt2,solver3,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_155.smt2,solver4,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_155.smt2,solver5,0.178439
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_155.smt2,solver6,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_155.smt2,solver7,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_155.smt2,solver8,1.53941
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir3/formula_224.smt2,solver0,6.24758
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir3/formula_224.smt2,solver1,6.67056
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir3/formula_224.smt2,solver2,6.70422
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir3/formula_224.smt2,solver3,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir3/formula_224.smt2,solver4,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir3/formula_224.smt2,solver5,1.27546
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir3/formula_224.smt2,solver6,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir3/formula_224.smt2,solver7,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir3/formula_224.smt2,solver8,2.14967
/p/graves/smtFiles/LIA/20190429-UltimateAutomizerSvcomp2019/jain_7_true-unreach-call_true-no-overflow_false-termination.i_6.smt2,solver0,3.16598
/p/graves/smtFiles/LIA/20190429-UltimateAutomizerSvcomp2019/jain_7_true-unreach-call_true-no-overflow_false-termination.i_6.smt2,solver1,0.0325391
