benchmark,solver,score
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir1/formula_013.smt2,solver0,5.82072
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir1/formula_013.smt2,solver1,0.0243229
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir1/formula_013.smt2,solver2,0.024669
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir1/formula_013.smt2,solver3,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir1/formula_013.smt2,solver4,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir1/formula_013.smt2,solver5,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir1/formula_013.smt2,solver6,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir1/formula_013.smt2,solver7,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir1/formula_013.smt2,solver8,0.0398899
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir1/formula_165.smt2,solver0,33.3582
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir1/formula_165.smt2,solver1,0.027984
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir1/formula_165.smt2,solver2,0.0285129
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir1/formula_165.smt2,solver3,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir1/formula_165.smt2,solver4,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir1/formula_165.smt2,solver5,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir1/formula_165.smt2,solver6,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir1/formula_165.smt2,solver7,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir1/formula_165.smt2,solver8,0.464408
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_176.smt2,solver0,3.48283
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_176.smt2,solver1,0.044878
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_176.smt2,solver2,0.043837
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_176.smt2,solver3,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_176.smt2,solver4,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_176.smt2,solver5,0.131624
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_176.smt2,solver6,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_176.smt2,solver7,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_176.smt2,solver8,0.0822489
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_131.smt2,solver0,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_131.smt2,solver1,0.351131
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_131.smt2,solver2,0.353816
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_131.smt2,solver3,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_131.smt2,solver4,2400
/p/graves/smtFiles/LRA/2010-Monniaux-QE/mjollnir4/formula_131.smt2,solver5,0.466644
