benchmark,solver,score
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_213_47_frame_condition.adb_234_7_index_check___00.smt2,solver0,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_213_47_frame_condition.adb_234_7_index_check___00.smt2,solver1,0.0455309
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_213_47_frame_condition.adb_234_7_index_check___00.smt2,solver2,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_213_47_frame_condition.adb_234_7_index_check___00.smt2,solver3,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_213_47_frame_condition.adb_234_7_index_check___00.smt2,solver4,0.0692389
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_213_47_frame_condition.adb_234_7_index_check___00.smt2,solver5,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_213_47_frame_condition.adb_234_7_index_check___00.smt2,solver6,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/MB14-009__for_loops_iterable__a-cfdlli.ads_766_57_for_loops_on_lists.ads_5_4_overflow_check___00.smt2,solver0,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/MB14-009__for_loops_iterable__a-cfdlli.ads_766_57_for_loops_on_lists.ads_5_4_overflow_check___00.smt2,solver1,0.052666
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/MB14-009__for_loops_iterable__a-cfdlli.ads_766_57_for_loops_on_lists.ads_5_4_overflow_check___00.smt2,solver2,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/MB14-009__for_loops_iterable__a-cfdlli.ads_766_57_for_loops_on_lists.ads_5_4_overflow_check___00.smt2,solver3,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/MB14-009__for_loops_iterable__a-cfdlli.ads_766_57_for_loops_on_lists.ads_5_4_overflow_check___00.smt2,solver4,140.579
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/MB14-009__for_loops_iterable__a-cfdlli.ads_766_57_for_loops_on_lists.ads_5_4_overflow_check___00.smt2,solver5,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/MB14-009__for_loops_iterable__a-cfdlli.ads_766_57_for_loops_on_lists.ads_5_4_overflow_check___00.smt2,solver6,2400
/p/graves/smtFiles/UFLIA/sledgehammer/Arrow_Order/smtlib.681416.smt2,solver0,2400
/p/graves/smtFiles/UFLIA/sledgehammer/Arrow_Order/smtlib.681416.smt2,solver1,2400
/p/graves/smtFiles/UFLIA/sledgehammer/Arrow_Order/smtlib.681416.smt2,solver2,2400
/p/graves/smtFiles/UFLIA/sledgehammer/Arrow_Order/smtlib.681416.smt2,solver3,2400
/p/graves/smtFiles/UFLIA/sledgehammer/Arrow_Order/smtlib.681416.smt2,solver4,1.14355
/p/graves/smtFiles/UFLIA/sledgehammer/Arrow_Order/smtlib.681416.smt2,solver5,9.19533
/p/graves/smtFiles/UFLIA/sledgehammer/Arrow_Order/smtlib.681416.smt2,solver6,2400
/p/graves/smtFiles/UFLIA/sledgehammer/Arrow_Order/smtlib.718040.smt2,solver0,2400
/p/graves/smtFiles/UFLIA/sledgehammer/Arrow_Order/smtlib.718040.smt2,solver1,120.685
/p/graves/smtFiles/UFLIA/sledgehammer/Arrow_Order/smtlib.718040.smt2,solver2,2400
/p/graves/smtFiles/UFLIA/sledgehammer/Arrow_Order/smtlib.718040.smt2,solver3,2400
/p/graves/smtFiles/UFLIA/sledgehammer/Arrow_Order/smtlib.718040.smt2,solver4,646.39
/p/graves/smtFiles/UFLIA/sledgehammer/Arrow_Order/smtlib.718040.smt2,solver5,9.29091
/p/graves/smtFiles/UFLIA/sledgehammer/Arrow_Order/smtlib.718040.smt2,solver6,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S730-045__dic_with_discrs__test_dic.adb_13_42_predicate_check___00.smt2,solver0,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S730-045__dic_with_discrs__test_dic.adb_13_42_predicate_check___00.smt2,solver1,0.0261819
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S730-045__dic_with_discrs__test_dic.adb_13_42_predicate_check___00.smt2,solver2,0.776872
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S730-045__dic_with_discrs__test_dic.adb_13_42_predicate_check___00.smt2,solver3,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S730-045__dic_with_discrs__test_dic.adb_13_42_predicate_check___00.smt2,solver4,0.067109
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S730-045__dic_with_discrs__test_dic.adb_13_42_predicate_check___00.smt2,solver5,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S730-045__dic_with_discrs__test_dic.adb_13_42_predicate_check___00.smt2,solver6,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/NC16-015__double_decl__tetris.adb_42_28_range_check___00.smt2,solver0,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/NC16-015__double_decl__tetris.adb_42_28_range_check___00.smt2,solver1,0.030135
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/NC16-015__double_decl__tetris.adb_42_28_range_check___00.smt2,solver2,0.763219
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/NC16-015__double_decl__tetris.adb_42_28_range_check___00.smt2,solver3,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/NC16-015__double_decl__tetris.adb_42_28_range_check___00.smt2,solver4,64.8817
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/NC16-015__double_decl__tetris.adb_42_28_range_check___00.smt2,solver5,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/NC16-015__double_decl__tetris.adb_42_28_range_check___00.smt2,solver6,2400
/p/graves/smtFiles/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1019572.smt2,solver0,2400
/p/graves/smtFiles/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1019572.smt2,solver1,0.481949
/p/graves/smtFiles/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1019572.smt2,solver2,2400
/p/graves/smtFiles/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1019572.smt2,solver3,2400
/p/graves/smtFiles/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1019572.smt2,solver4,15.6491
/p/graves/smtFiles/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1019572.smt2,solver5,16.738
/p/graves/smtFiles/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1019572.smt2,solver6,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__variant_records__var_test.adb_18_42_discriminant_check___00.smt2,solver0,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__variant_records__var_test.adb_18_42_discriminant_check___00.smt2,solver1,0.0369669
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__variant_records__var_test.adb_18_42_discriminant_check___00.smt2,solver2,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__variant_records__var_test.adb_18_42_discriminant_check___00.smt2,solver3,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__variant_records__var_test.adb_18_42_discriminant_check___00.smt2,solver4,0.132718
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__variant_records__var_test.adb_18_42_discriminant_check___00.smt2,solver5,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__variant_records__var_test.adb_18_42_discriminant_check___00.smt2,solver6,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vectors__vectors.adb_104_32_index_check___00.smt2,solver0,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vectors__vectors.adb_104_32_index_check___00.smt2,solver1,0.046292
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vectors__vectors.adb_104_32_index_check___00.smt2,solver2,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vectors__vectors.adb_104_32_index_check___00.smt2,solver3,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vectors__vectors.adb_104_32_index_check___00.smt2,solver4,0.104885
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vectors__vectors.adb_104_32_index_check___00.smt2,solver5,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vectors__vectors.adb_104_32_index_check___00.smt2,solver6,2400
/p/graves/smtFiles/UFLIA/boogie/ExactTypes_Q..ctor.smt2,solver0,2400
/p/graves/smtFiles/UFLIA/boogie/ExactTypes_Q..ctor.smt2,solver1,0.29259
/p/graves/smtFiles/UFLIA/boogie/ExactTypes_Q..ctor.smt2,solver2,2400
/p/graves/smtFiles/UFLIA/boogie/ExactTypes_Q..ctor.smt2,solver3,2400
/p/graves/smtFiles/UFLIA/boogie/ExactTypes_Q..ctor.smt2,solver4,2.11324
/p/graves/smtFiles/UFLIA/boogie/ExactTypes_Q..ctor.smt2,solver5,0.152855
/p/graves/smtFiles/UFLIA/boogie/ExactTypes_Q..ctor.smt2,solver6,0.105345
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/RC17-014__init_by_proof__nested_init_by_proof.adb_73_23_discriminant_check___00.smt2,solver0,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/RC17-014__init_by_proof__nested_init_by_proof.adb_73_23_discriminant_check___00.smt2,solver1,0.050307
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/RC17-014__init_by_proof__nested_init_by_proof.adb_73_23_discriminant_check___00.smt2,solver2,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/RC17-014__init_by_proof__nested_init_by_proof.adb_73_23_discriminant_check___00.smt2,solver3,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/RC17-014__init_by_proof__nested_init_by_proof.adb_73_23_discriminant_check___00.smt2,solver4,9.19398
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/RC17-014__init_by_proof__nested_init_by_proof.adb_73_23_discriminant_check___00.smt2,solver5,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/RC17-014__init_by_proof__nested_init_by_proof.adb_73_23_discriminant_check___00.smt2,solver6,2400
