benchmark,solver,score
/p/graves/smtFiles/AUFLIRA/nasa/fol_simplify_array_only/thruster_init_0067.fof.smt2,solver0,2400
/p/graves/smtFiles/AUFLIRA/nasa/fol_simplify_array_only/thruster_init_0067.fof.smt2,solver1,0.0340969
/p/graves/smtFiles/AUFLIRA/nasa/fol_simplify_array_only/thruster_init_0067.fof.smt2,solver2,2400
/p/graves/smtFiles/AUFLIRA/nasa/fol_simplify_array_only/thruster_init_0067.fof.smt2,solver3,0.549426
/p/graves/smtFiles/AUFLIRA/nasa/fol_simplify_array_only/thruster_init_0067.fof.smt2,solver4,0.137589
/p/graves/smtFiles/AUFLIRA/nasa/fol_simplify_array_only/thruster_init_0067.fof.smt2,solver5,0.0178771
/p/graves/smtFiles/AUFLIRA/nasa/fol_simplify_array_only/thruster_init_0067.fof.smt2,solver6,0.0268779
/p/graves/smtFiles/UFLIA/simplify/javafe.tc.TypeSig.734.smt2,solver0,2400
/p/graves/smtFiles/UFLIA/simplify/javafe.tc.TypeSig.734.smt2,solver1,1.52485
/p/graves/smtFiles/UFLIA/simplify/javafe.tc.TypeSig.734.smt2,solver2,2400
/p/graves/smtFiles/UFLIA/simplify/javafe.tc.TypeSig.734.smt2,solver3,2400
/p/graves/smtFiles/UFLIA/simplify/javafe.tc.TypeSig.734.smt2,solver4,1.21913
/p/graves/smtFiles/UFLIA/simplify/javafe.tc.TypeSig.734.smt2,solver5,9.62091
/p/graves/smtFiles/UFLIA/simplify/javafe.tc.TypeSig.734.smt2,solver6,0.537291
/p/graves/smtFiles/UFLIA/simplify2/front_end_suite/javafe.ast.ForStmt.005.smt2,solver0,2400
/p/graves/smtFiles/UFLIA/simplify2/front_end_suite/javafe.ast.ForStmt.005.smt2,solver1,0.542742
/p/graves/smtFiles/UFLIA/simplify2/front_end_suite/javafe.ast.ForStmt.005.smt2,solver2,2400
/p/graves/smtFiles/UFLIA/simplify2/front_end_suite/javafe.ast.ForStmt.005.smt2,solver3,2400
/p/graves/smtFiles/UFLIA/simplify2/front_end_suite/javafe.ast.ForStmt.005.smt2,solver4,5.76453
/p/graves/smtFiles/UFLIA/simplify2/front_end_suite/javafe.ast.ForStmt.005.smt2,solver5,0.119839
/p/graves/smtFiles/UFLIA/simplify2/front_end_suite/javafe.ast.ForStmt.005.smt2,solver6,0.148619
/p/graves/smtFiles/AUFLIA/20170829-Rodin/smt5172329397706788456.smt2,solver0,2400
/p/graves/smtFiles/AUFLIA/20170829-Rodin/smt5172329397706788456.smt2,solver1,0.0388219
/p/graves/smtFiles/AUFLIA/20170829-Rodin/smt5172329397706788456.smt2,solver2,2400
/p/graves/smtFiles/AUFLIA/20170829-Rodin/smt5172329397706788456.smt2,solver3,3.72238
/p/graves/smtFiles/AUFLIA/20170829-Rodin/smt5172329397706788456.smt2,solver4,0.152117
/p/graves/smtFiles/AUFLIA/20170829-Rodin/smt5172329397706788456.smt2,solver5,0.01847
/p/graves/smtFiles/AUFLIA/20170829-Rodin/smt5172329397706788456.smt2,solver6,0.0408951
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_264_42_precondition4___00.smt2,solver0,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_264_42_precondition4___00.smt2,solver1,0.133918
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_264_42_precondition4___00.smt2,solver2,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_264_42_precondition4___00.smt2,solver3,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_264_42_precondition4___00.smt2,solver4,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_264_42_precondition4___00.smt2,solver5,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_264_42_precondition4___00.smt2,solver6,2400
/p/graves/smtFiles/AUFLIA/20170829-Rodin/smt8229956673344028593.smt2,solver0,2400
/p/graves/smtFiles/AUFLIA/20170829-Rodin/smt8229956673344028593.smt2,solver1,0.0206371
/p/graves/smtFiles/AUFLIA/20170829-Rodin/smt8229956673344028593.smt2,solver2,2400
/p/graves/smtFiles/AUFLIA/20170829-Rodin/smt8229956673344028593.smt2,solver3,0.439788
/p/graves/smtFiles/AUFLIA/20170829-Rodin/smt8229956673344028593.smt2,solver4,0.0782739
/p/graves/smtFiles/AUFLIA/20170829-Rodin/smt8229956673344028593.smt2,solver5,0.013884
/p/graves/smtFiles/AUFLIA/20170829-Rodin/smt8229956673344028593.smt2,solver6,0.048592
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__bool__bool.adb_15_14_postcondition___00.smt2,solver0,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__bool__bool.adb_15_14_postcondition___00.smt2,solver1,0.0213381
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__bool__bool.adb_15_14_postcondition___00.smt2,solver2,0.765257
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__bool__bool.adb_15_14_postcondition___00.smt2,solver3,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__bool__bool.adb_15_14_postcondition___00.smt2,solver4,0.0613541
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__bool__bool.adb_15_14_postcondition___00.smt2,solver5,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__bool__bool.adb_15_14_postcondition___00.smt2,solver6,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/patience__patience.adb_94_25_index_check___00.smt2,solver0,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/patience__patience.adb_94_25_index_check___00.smt2,solver1,0.071437
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/patience__patience.adb_94_25_index_check___00.smt2,solver2,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/patience__patience.adb_94_25_index_check___00.smt2,solver3,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/patience__patience.adb_94_25_index_check___00.smt2,solver4,0.363708
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/patience__patience.adb_94_25_index_check___00.smt2,solver5,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/patience__patience.adb_94_25_index_check___00.smt2,solver6,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_234_45_range_check___00.smt2,solver0,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_234_45_range_check___00.smt2,solver1,0.218403
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_234_45_range_check___00.smt2,solver2,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_234_45_range_check___00.smt2,solver3,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_234_45_range_check___00.smt2,solver4,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_234_45_range_check___00.smt2,solver5,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_234_45_range_check___00.smt2,solver6,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S822-032__constant_access__pointers.adb_10_10_null_pointer_dereference___00.smt2,solver0,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S822-032__constant_access__pointers.adb_10_10_null_pointer_dereference___00.smt2,solver1,0.020511
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S822-032__constant_access__pointers.adb_10_10_null_pointer_dereference___00.smt2,solver2,0.763759
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S822-032__constant_access__pointers.adb_10_10_null_pointer_dereference___00.smt2,solver3,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S822-032__constant_access__pointers.adb_10_10_null_pointer_dereference___00.smt2,solver4,0.0628021
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S822-032__constant_access__pointers.adb_10_10_null_pointer_dereference___00.smt2,solver5,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S822-032__constant_access__pointers.adb_10_10_null_pointer_dereference___00.smt2,solver6,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/tetris__tetris_integrity.ads_193_49_range_check___00.smt2,solver0,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/tetris__tetris_integrity.ads_193_49_range_check___00.smt2,solver1,0.0357661
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/tetris__tetris_integrity.ads_193_49_range_check___00.smt2,solver2,0.773998
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/tetris__tetris_integrity.ads_193_49_range_check___00.smt2,solver3,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/tetris__tetris_integrity.ads_193_49_range_check___00.smt2,solver4,0.0926269
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/tetris__tetris_integrity.ads_193_49_range_check___00.smt2,solver5,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/tetris__tetris_integrity.ads_193_49_range_check___00.smt2,solver6,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/S117-008__pointer__formal_vectors.adb_53_25_use_formal_vectors.ads_10_4_null_pointer_dereference___03.smt2,solver0,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/S117-008__pointer__formal_vectors.adb_53_25_use_formal_vectors.ads_10_4_null_pointer_dereference___03.smt2,solver1,0.0612409
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/S117-008__pointer__formal_vectors.adb_53_25_use_formal_vectors.ads_10_4_null_pointer_dereference___03.smt2,solver2,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/S117-008__pointer__formal_vectors.adb_53_25_use_formal_vectors.ads_10_4_null_pointer_dereference___03.smt2,solver3,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/S117-008__pointer__formal_vectors.adb_53_25_use_formal_vectors.ads_10_4_null_pointer_dereference___03.smt2,solver4,0.186532
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/S117-008__pointer__formal_vectors.adb_53_25_use_formal_vectors.ads_10_4_null_pointer_dereference___03.smt2,solver5,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/S117-008__pointer__formal_vectors.adb_53_25_use_formal_vectors.ads_10_4_null_pointer_dereference___03.smt2,solver6,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_34_precondition7___00.smt2,solver0,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_34_precondition7___00.smt2,solver1,0.0875571
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_34_precondition7___00.smt2,solver2,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_34_precondition7___00.smt2,solver3,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_34_precondition7___00.smt2,solver4,0.12787
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_34_precondition7___00.smt2,solver5,2400
/p/graves/smtFiles/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_34_precondition7___00.smt2,solver6,2400
/p/graves/smtFiles/AUFLIRA/nasa/fol_simplify/cl5_nebula_init_0015.fof.smt2,solver0,2400
/p/graves/smtFiles/AUFLIRA/nasa/fol_simplify/cl5_nebula_init_0015.fof.smt2,solver1,0.0308221
/p/graves/smtFiles/AUFLIRA/nasa/fol_simplify/cl5_nebula_init_0015.fof.smt2,solver2,2400
/p/graves/smtFiles/AUFLIRA/nasa/fol_simplify/cl5_nebula_init_0015.fof.smt2,solver3,0.508041
/p/graves/smtFiles/AUFLIRA/nasa/fol_simplify/cl5_nebula_init_0015.fof.smt2,solver4,0.121809
/p/graves/smtFiles/AUFLIRA/nasa/fol_simplify/cl5_nebula_init_0015.fof.smt2,solver5,0.015675
/p/graves/smtFiles/AUFLIRA/nasa/fol_simplify/cl5_nebula_init_0015.fof.smt2,solver6,0.025001
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S708-039__pointer_search__binary_search_trees.adb_44_39_null_exclusion___00.smt2,solver0,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S708-039__pointer_search__binary_search_trees.adb_44_39_null_exclusion___00.smt2,solver1,0.029584
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S708-039__pointer_search__binary_search_trees.adb_44_39_null_exclusion___00.smt2,solver2,0.775509
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S708-039__pointer_search__binary_search_trees.adb_44_39_null_exclusion___00.smt2,solver3,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S708-039__pointer_search__binary_search_trees.adb_44_39_null_exclusion___00.smt2,solver4,0.0704399
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S708-039__pointer_search__binary_search_trees.adb_44_39_null_exclusion___00.smt2,solver5,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/S708-039__pointer_search__binary_search_trees.adb_44_39_null_exclusion___00.smt2,solver6,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/N715-017__default_init_cond__default_init.adb_37_22_assert___00.smt2,solver0,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/N715-017__default_init_cond__default_init.adb_37_22_assert___00.smt2,solver1,0.021824
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/N715-017__default_init_cond__default_init.adb_37_22_assert___00.smt2,solver2,0.754641
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/N715-017__default_init_cond__default_init.adb_37_22_assert___00.smt2,solver3,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/N715-017__default_init_cond__default_init.adb_37_22_assert___00.smt2,solver4,0.062146
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/N715-017__default_init_cond__default_init.adb_37_22_assert___00.smt2,solver5,2400
/p/graves/smtFiles/UFDTLIRA/20200306-Kanig/spark2014bench/N715-017__default_init_cond__default_init.adb_37_22_assert___00.smt2,solver6,2400
