benchmark,solver,score
UFFPDTNIRA/20200306-Kanig/spark2014bench/L402-004__exp__p.adb_7_14_overflow_check___00.smt2,solver0,0.0439479
UFFPDTNIRA/20200306-Kanig/spark2014bench/L402-004__exp__p.adb_7_14_overflow_check___00.smt2,solver1,2400
UFFPDTNIRA/20200306-Kanig/spark2014bench/L402-004__exp__p.adb_7_14_overflow_check___00.smt2,solver2,0.038511
UFFPDTNIRA/20200306-Kanig/spark2014bench/L402-004__exp__p.adb_7_14_overflow_check___00.smt2,solver3,2400
UFFPDTLIRA/20200306-Kanig/spark2014bench/M422-023__from_int__sgs.adb_12_22_assert___00.smt2,solver0,0.124269
UFFPDTLIRA/20200306-Kanig/spark2014bench/M422-023__from_int__sgs.adb_12_22_assert___00.smt2,solver1,2400
UFFPDTLIRA/20200306-Kanig/spark2014bench/M422-023__from_int__sgs.adb_12_22_assert___00.smt2,solver2,0.103383
UFFPDTLIRA/20200306-Kanig/spark2014bench/M422-023__from_int__sgs.adb_12_22_assert___00.smt2,solver3,2400
AUFFPDTLIRA/20200306-Kanig/spark2014bench/S529-004__update_attr__relaxed_initialization.adb_40_27_discriminant_check___00.smt2,solver0,0.0388881
AUFFPDTLIRA/20200306-Kanig/spark2014bench/S529-004__update_attr__relaxed_initialization.adb_40_27_discriminant_check___00.smt2,solver1,2400
AUFFPDTLIRA/20200306-Kanig/spark2014bench/S529-004__update_attr__relaxed_initialization.adb_40_27_discriminant_check___00.smt2,solver2,0.036284
AUFFPDTLIRA/20200306-Kanig/spark2014bench/S529-004__update_attr__relaxed_initialization.adb_40_27_discriminant_check___00.smt2,solver3,2400
UFFPDTLIRA/20200306-Kanig/spark2014bench/Q607-007__floats__normalize.adb_35_14_range_check___00.smt2,solver0,0.31066
UFFPDTLIRA/20200306-Kanig/spark2014bench/Q607-007__floats__normalize.adb_35_14_range_check___00.smt2,solver1,2400
UFFPDTLIRA/20200306-Kanig/spark2014bench/Q607-007__floats__normalize.adb_35_14_range_check___00.smt2,solver2,0.331181
UFFPDTLIRA/20200306-Kanig/spark2014bench/Q607-007__floats__normalize.adb_35_14_range_check___00.smt2,solver3,2400
AUFFPDTLIRA/20200306-Kanig/spark2014bench/K210-006__anontype1__anon_type.ads_7_19_postcondition___00.smt2,solver0,0.036659
AUFFPDTLIRA/20200306-Kanig/spark2014bench/K210-006__anontype1__anon_type.ads_7_19_postcondition___00.smt2,solver1,2400
AUFFPDTLIRA/20200306-Kanig/spark2014bench/K210-006__anontype1__anon_type.ads_7_19_postcondition___00.smt2,solver2,0.035288
AUFFPDTLIRA/20200306-Kanig/spark2014bench/K210-006__anontype1__anon_type.ads_7_19_postcondition___00.smt2,solver3,2400
UFFPDTLIRA/20200306-Kanig/spark2014bench/N709-001__tagged_discr__tagged_discr.ads_24_19_postcondition___00.smt2,solver0,0.129434
UFFPDTLIRA/20200306-Kanig/spark2014bench/N709-001__tagged_discr__tagged_discr.ads_24_19_postcondition___00.smt2,solver1,2400
UFFPDTLIRA/20200306-Kanig/spark2014bench/N709-001__tagged_discr__tagged_discr.ads_24_19_postcondition___00.smt2,solver2,0.093069
UFFPDTLIRA/20200306-Kanig/spark2014bench/N709-001__tagged_discr__tagged_discr.ads_24_19_postcondition___00.smt2,solver3,2400
UFBV/20210330-PEak/uf_sat/hard0.smt2,solver0,2400
UFBV/20210330-PEak/uf_sat/hard0.smt2,solver1,2400
