benchmark,solver,score
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_03_12_518_1888854.smt_in.smt2,solver0,2400
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_03_12_518_1888854.smt_in.smt2,solver1,2400
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_03_12_518_1888854.smt_in.smt2,solver2,0.189816
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_03_12_518_1888854.smt_in.smt2,solver3,26.8635
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_03_12_518_1888854.smt_in.smt2,solver4,2400
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_03_12_518_1888854.smt_in.smt2,solver5,40.6292
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_03_12_518_1888854.smt_in.smt2,solver6,1.15743
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_03_12_518_1888854.smt_in.smt2,solver7,0.0903991
/p/graves/smtFiles/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1309766.smt2,solver0,2400
/p/graves/smtFiles/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1309766.smt2,solver1,2400
/p/graves/smtFiles/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1309766.smt2,solver2,0.203145
/p/graves/smtFiles/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1309766.smt2,solver3,2400
/p/graves/smtFiles/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1309766.smt2,solver4,2400
/p/graves/smtFiles/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1309766.smt2,solver5,10.4197
/p/graves/smtFiles/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1309766.smt2,solver6,0.0490549
/p/graves/smtFiles/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1309766.smt2,solver7,0.10659
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_52_04_854_1216622.smt_in.smt2,solver0,2400
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_52_04_854_1216622.smt_in.smt2,solver1,171.023
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_52_04_854_1216622.smt_in.smt2,solver2,40.2335
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_52_04_854_1216622.smt_in.smt2,solver3,2.79018
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_52_04_854_1216622.smt_in.smt2,solver4,2400
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_52_04_854_1216622.smt_in.smt2,solver5,0.667707
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_52_04_854_1216622.smt_in.smt2,solver6,2400
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_52_04_854_1216622.smt_in.smt2,solver7,2400
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1165760.smt2,solver0,2400
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1165760.smt2,solver1,2400
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1165760.smt2,solver2,0.217545
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1165760.smt2,solver3,1.29752
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1165760.smt2,solver4,2400
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1165760.smt2,solver5,1.12177
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1165760.smt2,solver6,0.0560461
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1165760.smt2,solver7,0.123278
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1023256.smt2,solver0,2400
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1023256.smt2,solver1,2400
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1023256.smt2,solver2,0.412259
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1023256.smt2,solver3,2400
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1023256.smt2,solver4,17.7273
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1023256.smt2,solver5,115.865
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1023256.smt2,solver6,0.1855
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1023256.smt2,solver7,0.162266
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/gandl/cotree/x2015_09_10_16_50_51_123_1085536.smt_in.smt2,solver0,2400
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/gandl/cotree/x2015_09_10_16_50_51_123_1085536.smt_in.smt2,solver1,2400
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/gandl/cotree/x2015_09_10_16_50_51_123_1085536.smt_in.smt2,solver2,46.816
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/gandl/cotree/x2015_09_10_16_50_51_123_1085536.smt_in.smt2,solver3,75.8882
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/gandl/cotree/x2015_09_10_16_50_51_123_1085536.smt_in.smt2,solver4,2400
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/gandl/cotree/x2015_09_10_16_50_51_123_1085536.smt_in.smt2,solver5,3.1319
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/gandl/cotree/x2015_09_10_16_50_51_123_1085536.smt_in.smt2,solver6,2400
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/gandl/cotree/x2015_09_10_16_50_51_123_1085536.smt_in.smt2,solver7,2400
/p/graves/smtFiles/UFDT/20170428-Barrett/cdt-cade2015/data/distro/rbt_impl/x2015_09_10_16_55_50_395_1597807.smt_in.smt2,solver0,2400
/p/graves/smtFiles/UFDT/20170428-Barrett/cdt-cade2015/data/distro/rbt_impl/x2015_09_10_16_55_50_395_1597807.smt_in.smt2,solver1,2400
/p/graves/smtFiles/UFDT/20170428-Barrett/cdt-cade2015/data/distro/rbt_impl/x2015_09_10_16_55_50_395_1597807.smt_in.smt2,solver2,0.300244
/p/graves/smtFiles/UFDT/20170428-Barrett/cdt-cade2015/data/distro/rbt_impl/x2015_09_10_16_55_50_395_1597807.smt_in.smt2,solver3,32.8259
/p/graves/smtFiles/UFDT/20170428-Barrett/cdt-cade2015/data/distro/rbt_impl/x2015_09_10_16_55_50_395_1597807.smt_in.smt2,solver4,2400
/p/graves/smtFiles/UFDT/20170428-Barrett/cdt-cade2015/data/distro/rbt_impl/x2015_09_10_16_55_50_395_1597807.smt_in.smt2,solver5,1.88136
/p/graves/smtFiles/UFDT/20170428-Barrett/cdt-cade2015/data/distro/rbt_impl/x2015_09_10_16_55_50_395_1597807.smt_in.smt2,solver6,2400
/p/graves/smtFiles/UFDT/20170428-Barrett/cdt-cade2015/data/distro/rbt_impl/x2015_09_10_16_55_50_395_1597807.smt_in.smt2,solver7,2400
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1087428.smt2,solver0,2400
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1087428.smt2,solver1,2400
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1087428.smt2,solver2,525.59
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1087428.smt2,solver3,0.772625
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1087428.smt2,solver4,2400
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1087428.smt2,solver5,0.277972
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1087428.smt2,solver6,2400
/p/graves/smtFiles/UF/sledgehammer/Hoare/uf.1087428.smt2,solver7,2400
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_06_39_803_2173302.smt_in.smt2,solver0,2400
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_06_39_803_2173302.smt_in.smt2,solver1,2400
/p/graves/smtFiles/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_06_39_803_2173302.smt_in.smt2,solver2,0.377153
