benchmark,solver,score
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_1032a_true-unreach-call.c_0.smt2,solver0,2400
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_1032a_true-unreach-call.c_0.smt2,solver1,0.0343799
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_1032a_true-unreach-call.c_0.smt2,solver2,2400
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0682a_true-unreach-call.c_11.smt2,solver0,2400
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0682a_true-unreach-call.c_11.smt2,solver1,0.05609
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0682a_true-unreach-call.c_11.smt2,solver2,2400
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0681a_true-unreach-call.c_1.smt2,solver0,2400
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0681a_true-unreach-call.c_1.smt2,solver1,0.109365
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0681a_true-unreach-call.c_1.smt2,solver2,2400
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0680b_true-unreach-call.c_1.smt2,solver0,2400
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0680b_true-unreach-call.c_1.smt2,solver1,0.0838789
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0680b_true-unreach-call.c_1.smt2,solver2,2400
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0683a_true-unreach-call.c_2.smt2,solver0,2400
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0683a_true-unreach-call.c_2.smt2,solver1,0.0655159
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0683a_true-unreach-call.c_2.smt2,solver2,2400
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0877_true-unreach-call.c_5.smt2,solver0,2400
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0877_true-unreach-call.c_5.smt2,solver1,0.0448539
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0877_true-unreach-call.c_5.smt2,solver2,2400
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0662b_true-unreach-call.c_3.smt2,solver0,2400
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0662b_true-unreach-call.c_3.smt2,solver1,0.13463
/p/graves/smtFiles/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0662b_true-unreach-call.c_3.smt2,solver2,2400
/p/graves/smtFiles/BVFPLRA/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0877_true-unreach-call.c_7.smt2,solver0,2400
/p/graves/smtFiles/BVFPLRA/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0877_true-unreach-call.c_7.smt2,solver1,2400
/p/graves/smtFiles/BVFPLRA/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0877_true-unreach-call.c_7.smt2,solver2,2400
