benchmark,solver,score
/p/graves/smtFiles/QF_BV/Sage2/bench_7970.smt2,solver0,3.2205
/p/graves/smtFiles/QF_BV/Sage2/bench_7970.smt2,solver1,0.273442
/p/graves/smtFiles/QF_BV/Sage2/bench_7970.smt2,solver2,0.25509
/p/graves/smtFiles/QF_BV/Sage2/bench_7970.smt2,solver3,893.82
/p/graves/smtFiles/QF_BV/Sage2/bench_7970.smt2,solver4,0.648831
/p/graves/smtFiles/QF_BV/Sage2/bench_7970.smt2,solver5,2400
/p/graves/smtFiles/QF_BV/Sage2/bench_7980.smt2,solver0,3.67989
/p/graves/smtFiles/QF_BV/Sage2/bench_7980.smt2,solver1,0.206626
/p/graves/smtFiles/QF_BV/Sage2/bench_7980.smt2,solver2,0.253098
/p/graves/smtFiles/QF_BV/Sage2/bench_7980.smt2,solver3,763.855
/p/graves/smtFiles/QF_BV/Sage2/bench_7980.smt2,solver4,0.6562
/p/graves/smtFiles/QF_BV/Sage2/bench_7980.smt2,solver5,2400
/p/graves/smtFiles/QF_BV/asp/ConnectedDominatingSet/rand_80_500_1235848939_0_k=6_unsat.gph.smt2,solver0,6.85899
/p/graves/smtFiles/QF_BV/asp/ConnectedDominatingSet/rand_80_500_1235848939_0_k=6_unsat.gph.smt2,solver1,16.2023
/p/graves/smtFiles/QF_BV/asp/ConnectedDominatingSet/rand_80_500_1235848939_0_k=6_unsat.gph.smt2,solver2,3.08298
/p/graves/smtFiles/QF_BV/asp/ConnectedDominatingSet/rand_80_500_1235848939_0_k=6_unsat.gph.smt2,solver3,15.0644
/p/graves/smtFiles/QF_BV/asp/ConnectedDominatingSet/rand_80_500_1235848939_0_k=6_unsat.gph.smt2,solver4,38.0743
/p/graves/smtFiles/QF_BV/asp/ConnectedDominatingSet/rand_80_500_1235848939_0_k=6_unsat.gph.smt2,solver5,6.24775
/p/graves/smtFiles/QF_BV/Sage2/bench_4256.smt2,solver0,2.50222
/p/graves/smtFiles/QF_BV/Sage2/bench_4256.smt2,solver1,0.895227
/p/graves/smtFiles/QF_BV/Sage2/bench_4256.smt2,solver2,0.947335
/p/graves/smtFiles/QF_BV/Sage2/bench_4256.smt2,solver3,4.88186
/p/graves/smtFiles/QF_BV/Sage2/bench_4256.smt2,solver4,1.17986
/p/graves/smtFiles/QF_BV/Sage2/bench_4256.smt2,solver5,6.66025
/p/graves/smtFiles/QF_BV/asp/Fastfood/a7.3.3.asp.smt2,solver0,215.982
/p/graves/smtFiles/QF_BV/asp/Fastfood/a7.3.3.asp.smt2,solver1,598.264
/p/graves/smtFiles/QF_BV/asp/Fastfood/a7.3.3.asp.smt2,solver2,270.203
/p/graves/smtFiles/QF_BV/asp/Fastfood/a7.3.3.asp.smt2,solver3,787.371
/p/graves/smtFiles/QF_BV/asp/Fastfood/a7.3.3.asp.smt2,solver4,2400
/p/graves/smtFiles/QF_BV/asp/Fastfood/a7.3.3.asp.smt2,solver5,538.989
/p/graves/smtFiles/QF_BV/Sage2/bench_4386.smt2,solver0,0.219661
/p/graves/smtFiles/QF_BV/Sage2/bench_4386.smt2,solver1,16.3178
/p/graves/smtFiles/QF_BV/Sage2/bench_4386.smt2,solver2,1.32246
/p/graves/smtFiles/QF_BV/Sage2/bench_4386.smt2,solver3,1.1061
/p/graves/smtFiles/QF_BV/Sage2/bench_4386.smt2,solver4,2.49896
/p/graves/smtFiles/QF_BV/Sage2/bench_4386.smt2,solver5,106.1
/p/graves/smtFiles/QF_BV/Sage2/bench_1404.smt2,solver0,34.7359
/p/graves/smtFiles/QF_BV/Sage2/bench_1404.smt2,solver1,0.224933
/p/graves/smtFiles/QF_BV/Sage2/bench_1404.smt2,solver2,0.312547
/p/graves/smtFiles/QF_BV/Sage2/bench_1404.smt2,solver3,11.0483
/p/graves/smtFiles/QF_BV/Sage2/bench_1404.smt2,solver4,2400
/p/graves/smtFiles/QF_BV/Sage2/bench_1404.smt2,solver5,10.8874
/p/graves/smtFiles/QF_BV/Sage2/bench_4652.smt2,solver0,3.7896
/p/graves/smtFiles/QF_BV/Sage2/bench_4652.smt2,solver1,0.388023
/p/graves/smtFiles/QF_BV/Sage2/bench_4652.smt2,solver2,0.140254
/p/graves/smtFiles/QF_BV/Sage2/bench_4652.smt2,solver3,1.26679
/p/graves/smtFiles/QF_BV/Sage2/bench_4652.smt2,solver4,11.3964
/p/graves/smtFiles/QF_BV/Sage2/bench_4652.smt2,solver5,2.23129
/p/graves/smtFiles/QF_BV/Sage2/bench_8679.smt2,solver0,2.51946
/p/graves/smtFiles/QF_BV/Sage2/bench_8679.smt2,solver1,0.225024
/p/graves/smtFiles/QF_BV/Sage2/bench_8679.smt2,solver2,0.263902
/p/graves/smtFiles/QF_BV/Sage2/bench_8679.smt2,solver3,346.624
/p/graves/smtFiles/QF_BV/Sage2/bench_8679.smt2,solver4,0.672388
/p/graves/smtFiles/QF_BV/Sage2/bench_8679.smt2,solver5,2400
/p/graves/smtFiles/QF_BV/bruttomesso/core/ext_con_036_008_0064.smt2,solver0,0.560078
/p/graves/smtFiles/QF_BV/bruttomesso/core/ext_con_036_008_0064.smt2,solver1,0.208346
/p/graves/smtFiles/QF_BV/bruttomesso/core/ext_con_036_008_0064.smt2,solver2,0.067622
/p/graves/smtFiles/QF_BV/bruttomesso/core/ext_con_036_008_0064.smt2,solver3,0.196448
/p/graves/smtFiles/QF_BV/bruttomesso/core/ext_con_036_008_0064.smt2,solver4,0.686409
/p/graves/smtFiles/QF_BV/bruttomesso/core/ext_con_036_008_0064.smt2,solver5,0.0731451
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_libmsrpc_vc1225841.smt2,solver0,0.657089
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_libmsrpc_vc1225841.smt2,solver1,1.88623
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_libmsrpc_vc1225841.smt2,solver2,0.675084
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_libmsrpc_vc1225841.smt2,solver3,28.4068
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_libmsrpc_vc1225841.smt2,solver4,9.87673
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_libmsrpc_vc1225841.smt2,solver5,6.42018
/p/graves/smtFiles/QF_BV/Sage2/bench_15554.smt2,solver0,0.09967
/p/graves/smtFiles/QF_BV/Sage2/bench_15554.smt2,solver1,0.0933349
/p/graves/smtFiles/QF_BV/Sage2/bench_15554.smt2,solver2,0.0215899
/p/graves/smtFiles/QF_BV/Sage2/bench_15554.smt2,solver3,16.9812
/p/graves/smtFiles/QF_BV/Sage2/bench_15554.smt2,solver4,0.0830731
/p/graves/smtFiles/QF_BV/Sage2/bench_15554.smt2,solver5,2400
/p/graves/smtFiles/QF_BV/Sage2/bench_9173.smt2,solver0,4.71929
/p/graves/smtFiles/QF_BV/Sage2/bench_9173.smt2,solver1,1.61519
/p/graves/smtFiles/QF_BV/Sage2/bench_9173.smt2,solver2,16.2431
/p/graves/smtFiles/QF_BV/Sage2/bench_9173.smt2,solver3,101.139
/p/graves/smtFiles/QF_BV/Sage2/bench_9173.smt2,solver4,11.1513
/p/graves/smtFiles/QF_BV/Sage2/bench_9173.smt2,solver5,531.95
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_libmsrpc_vc1228514.smt2,solver0,0.601894
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_libmsrpc_vc1228514.smt2,solver1,2.02321
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_libmsrpc_vc1228514.smt2,solver2,0.674408
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_libmsrpc_vc1228514.smt2,solver3,27.7912
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_libmsrpc_vc1228514.smt2,solver4,16.0572
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_libmsrpc_vc1228514.smt2,solver5,4.48001
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331182.smt2,solver0,0.972394
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331182.smt2,solver1,3.44767
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331182.smt2,solver2,1.4733
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331182.smt2,solver3,37.9934
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331182.smt2,solver4,27.7582
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331182.smt2,solver5,18.0215
/p/graves/smtFiles/QF_BV/Sage2/bench_6386.smt2,solver0,0.203592
/p/graves/smtFiles/QF_BV/Sage2/bench_6386.smt2,solver1,0.320329
/p/graves/smtFiles/QF_BV/Sage2/bench_6386.smt2,solver2,0.080667
/p/graves/smtFiles/QF_BV/Sage2/bench_6386.smt2,solver3,422.815
/p/graves/smtFiles/QF_BV/Sage2/bench_6386.smt2,solver4,0.38354
/p/graves/smtFiles/QF_BV/Sage2/bench_6386.smt2,solver5,2400
/p/graves/smtFiles/QF_BV/20210219-Sydr/symbolic_memory/linear/minigzip/predicate_625.smt2,solver0,4.35521
/p/graves/smtFiles/QF_BV/20210219-Sydr/symbolic_memory/linear/minigzip/predicate_625.smt2,solver1,4.36083
/p/graves/smtFiles/QF_BV/20210219-Sydr/symbolic_memory/linear/minigzip/predicate_625.smt2,solver2,1.18033
/p/graves/smtFiles/QF_BV/20210219-Sydr/symbolic_memory/linear/minigzip/predicate_625.smt2,solver3,29.2722
/p/graves/smtFiles/QF_BV/20210219-Sydr/symbolic_memory/linear/minigzip/predicate_625.smt2,solver4,15.614
/p/graves/smtFiles/QF_BV/20210219-Sydr/symbolic_memory/linear/minigzip/predicate_625.smt2,solver5,35.26
/p/graves/smtFiles/QF_BV/sage/app11/bench_459.smt2,solver0,0.45316
/p/graves/smtFiles/QF_BV/sage/app11/bench_459.smt2,solver1,21.4062
/p/graves/smtFiles/QF_BV/sage/app11/bench_459.smt2,solver2,0.139003
/p/graves/smtFiles/QF_BV/sage/app11/bench_459.smt2,solver3,3.64991
/p/graves/smtFiles/QF_BV/sage/app11/bench_459.smt2,solver4,33.8194
/p/graves/smtFiles/QF_BV/sage/app11/bench_459.smt2,solver5,0.313601
/p/graves/smtFiles/QF_BV/20210312-Bouvier/vlsat3_g82.smt2,solver0,29.3473
/p/graves/smtFiles/QF_BV/20210312-Bouvier/vlsat3_g82.smt2,solver1,410.034
/p/graves/smtFiles/QF_BV/20210312-Bouvier/vlsat3_g82.smt2,solver2,135.157
/p/graves/smtFiles/QF_BV/20210312-Bouvier/vlsat3_g82.smt2,solver3,312.344
/p/graves/smtFiles/QF_BV/20210312-Bouvier/vlsat3_g82.smt2,solver4,26.511
/p/graves/smtFiles/QF_BV/20210312-Bouvier/vlsat3_g82.smt2,solver5,2400
/p/graves/smtFiles/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_357.smt2,solver0,0.0361209
/p/graves/smtFiles/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_357.smt2,solver1,0.0243241
/p/graves/smtFiles/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_357.smt2,solver2,0.0135939
/p/graves/smtFiles/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_357.smt2,solver3,0.031561
/p/graves/smtFiles/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_357.smt2,solver4,0.030929
/p/graves/smtFiles/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_357.smt2,solver5,0.030321
/p/graves/smtFiles/QF_BV/20210219-Sydr/symbolic_memory/linear/readelf/predicate_2021.smt2,solver0,4.77141
/p/graves/smtFiles/QF_BV/20210219-Sydr/symbolic_memory/linear/readelf/predicate_2021.smt2,solver1,3.39886
/p/graves/smtFiles/QF_BV/20210219-Sydr/symbolic_memory/linear/readelf/predicate_2021.smt2,solver2,1.39575
/p/graves/smtFiles/QF_BV/20210219-Sydr/symbolic_memory/linear/readelf/predicate_2021.smt2,solver3,30.4636
/p/graves/smtFiles/QF_BV/20210219-Sydr/symbolic_memory/linear/readelf/predicate_2021.smt2,solver4,9.8874
/p/graves/smtFiles/QF_BV/20210219-Sydr/symbolic_memory/linear/readelf/predicate_2021.smt2,solver5,31.0155
/p/graves/smtFiles/QF_BV/Sage2/bench_2441.smt2,solver0,23.5657
/p/graves/smtFiles/QF_BV/Sage2/bench_2441.smt2,solver1,2.62436
/p/graves/smtFiles/QF_BV/Sage2/bench_2441.smt2,solver2,136.005
/p/graves/smtFiles/QF_BV/Sage2/bench_2441.smt2,solver3,142.269
/p/graves/smtFiles/QF_BV/Sage2/bench_2441.smt2,solver4,13.8174
/p/graves/smtFiles/QF_BV/Sage2/bench_2441.smt2,solver5,181.612
/p/graves/smtFiles/QF_BV/bruttomesso/core/ext_con_016_008_1024.smt2,solver0,3.03917
/p/graves/smtFiles/QF_BV/bruttomesso/core/ext_con_016_008_1024.smt2,solver1,2.03146
/p/graves/smtFiles/QF_BV/bruttomesso/core/ext_con_016_008_1024.smt2,solver2,0.936443
/p/graves/smtFiles/QF_BV/bruttomesso/core/ext_con_016_008_1024.smt2,solver3,2.71349
/p/graves/smtFiles/QF_BV/bruttomesso/core/ext_con_016_008_1024.smt2,solver4,15.7685
/p/graves/smtFiles/QF_BV/bruttomesso/core/ext_con_016_008_1024.smt2,solver5,0.311651
/p/graves/smtFiles/QF_BV/Sage2/bench_11151.smt2,solver0,0.865979
/p/graves/smtFiles/QF_BV/Sage2/bench_11151.smt2,solver1,1.22767
/p/graves/smtFiles/QF_BV/Sage2/bench_11151.smt2,solver2,7.51364
/p/graves/smtFiles/QF_BV/Sage2/bench_11151.smt2,solver3,5.40849
/p/graves/smtFiles/QF_BV/Sage2/bench_11151.smt2,solver4,0.825329
/p/graves/smtFiles/QF_BV/Sage2/bench_11151.smt2,solver5,71.9585
/p/graves/smtFiles/QF_BV/Sage2/bench_2273.smt2,solver0,0.083481
/p/graves/smtFiles/QF_BV/Sage2/bench_2273.smt2,solver1,0.028346
