benchmark,solver,score
/p/graves/smtFiles/QF_BV/sage/app9/bench_2973.smt2,solver0,0.4555
/p/graves/smtFiles/QF_BV/sage/app9/bench_2973.smt2,solver1,0.225141
/p/graves/smtFiles/QF_BV/sage/app9/bench_2973.smt2,solver2,0.0561019
/p/graves/smtFiles/QF_BV/sage/app9/bench_2973.smt2,solver3,0.753474
/p/graves/smtFiles/QF_BV/sage/app9/bench_2973.smt2,solver4,0.179839
/p/graves/smtFiles/QF_BV/sage/app9/bench_2973.smt2,solver5,0.996634
/p/graves/smtFiles/QF_BV/Sage2/bench_15103.smt2,solver0,0.202119
/p/graves/smtFiles/QF_BV/Sage2/bench_15103.smt2,solver1,0.38262
/p/graves/smtFiles/QF_BV/Sage2/bench_15103.smt2,solver2,0.043007
/p/graves/smtFiles/QF_BV/Sage2/bench_15103.smt2,solver3,2400
/p/graves/smtFiles/QF_BV/Sage2/bench_15103.smt2,solver4,0.208847
/p/graves/smtFiles/QF_BV/Sage2/bench_15103.smt2,solver5,2400
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_libsmbsharemodes_vc5817.smt2,solver0,0.304711
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_libsmbsharemodes_vc5817.smt2,solver1,0.834502
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_libsmbsharemodes_vc5817.smt2,solver2,0.303334
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_libsmbsharemodes_vc5817.smt2,solver3,4.2789
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_libsmbsharemodes_vc5817.smt2,solver4,1.62165
/p/graves/smtFiles/QF_BV/spear/samba_v3.0.24/bin_libsmbsharemodes_vc5817.smt2,solver5,2.88767
/p/graves/smtFiles/QF_BV/Sage2/bench_12604.smt2,solver0,4.67231
/p/graves/smtFiles/QF_BV/Sage2/bench_12604.smt2,solver1,0.257926
/p/graves/smtFiles/QF_BV/Sage2/bench_12604.smt2,solver2,0.274935
/p/graves/smtFiles/QF_BV/Sage2/bench_12604.smt2,solver3,862.15
/p/graves/smtFiles/QF_BV/Sage2/bench_12604.smt2,solver4,0.716987
/p/graves/smtFiles/QF_BV/Sage2/bench_12604.smt2,solver5,2400
/p/graves/smtFiles/QF_BV/sage/app7/bench_525.smt2,solver0,1.85155
/p/graves/smtFiles/QF_BV/sage/app7/bench_525.smt2,solver1,0.791624
/p/graves/smtFiles/QF_BV/sage/app7/bench_525.smt2,solver2,0.492481
/p/graves/smtFiles/QF_BV/sage/app7/bench_525.smt2,solver3,5.8387
/p/graves/smtFiles/QF_BV/sage/app7/bench_525.smt2,solver4,0.879785
/p/graves/smtFiles/QF_BV/sage/app7/bench_525.smt2,solver5,0.826498
/p/graves/smtFiles/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1252.smt2,solver0,0.014341
/p/graves/smtFiles/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1252.smt2,solver1,0.0447191
/p/graves/smtFiles/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1252.smt2,solver2,0.0109001
/p/graves/smtFiles/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1252.smt2,solver3,0.0590669
/p/graves/smtFiles/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1252.smt2,solver4,0.032614
/p/graves/smtFiles/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1252.smt2,solver5,0.048567
/p/graves/smtFiles/QF_BV/uclid/catchconv/convert-jpg2gif-query-1198.smt2,solver0,1.33468
/p/graves/smtFiles/QF_BV/uclid/catchconv/convert-jpg2gif-query-1198.smt2,solver1,0.274806
/p/graves/smtFiles/QF_BV/uclid/catchconv/convert-jpg2gif-query-1198.smt2,solver2,0.0761259
/p/graves/smtFiles/QF_BV/uclid/catchconv/convert-jpg2gif-query-1198.smt2,solver3,2.56466
/p/graves/smtFiles/QF_BV/uclid/catchconv/convert-jpg2gif-query-1198.smt2,solver4,0.376844
/p/graves/smtFiles/QF_BV/uclid/catchconv/convert-jpg2gif-query-1198.smt2,solver5,0.946729
/p/graves/smtFiles/QF_BV/Sage2/bench_6850.smt2,solver0,2.58978
/p/graves/smtFiles/QF_BV/Sage2/bench_6850.smt2,solver1,0.225164
/p/graves/smtFiles/QF_BV/Sage2/bench_6850.smt2,solver2,0.263746
/p/graves/smtFiles/QF_BV/Sage2/bench_6850.smt2,solver3,374.432
/p/graves/smtFiles/QF_BV/Sage2/bench_6850.smt2,solver4,0.672269
/p/graves/smtFiles/QF_BV/Sage2/bench_6850.smt2,solver5,2400
