benchmark,solver,score
/p/graves/smtFiles/QF_ABV/klee-selected-smt2/cu-no-caches/_csplit-query-000249.smt2,solver0,0.060533
/p/graves/smtFiles/QF_ABV/klee-selected-smt2/cu-no-caches/_csplit-query-000249.smt2,solver1,2.61067
/p/graves/smtFiles/QF_ABV/klee-selected-smt2/cu-no-caches/_csplit-query-000249.smt2,solver2,12.9368
/p/graves/smtFiles/QF_ABV/klee-selected-smt2/cu-no-caches/_csplit-query-000249.smt2,solver3,5.30459
/p/graves/smtFiles/QF_ABV/klee-selected-smt2/cu-no-caches/_csplit-query-000249.smt2,solver4,0.311752
/p/graves/smtFiles/QF_ABV/brummayerbiere/swapmem022ue.smt2,solver0,163.084
/p/graves/smtFiles/QF_ABV/brummayerbiere/swapmem022ue.smt2,solver1,308.955
/p/graves/smtFiles/QF_ABV/brummayerbiere/swapmem022ue.smt2,solver2,25.5253
/p/graves/smtFiles/QF_ABV/brummayerbiere/swapmem022ue.smt2,solver3,39.6742
/p/graves/smtFiles/QF_ABV/brummayerbiere/swapmem022ue.smt2,solver4,292.644
/p/graves/smtFiles/QF_ABV/egt/egt-0959.smt2,solver0,0.018884
/p/graves/smtFiles/QF_ABV/egt/egt-0959.smt2,solver1,0.0106161
/p/graves/smtFiles/QF_ABV/egt/egt-0959.smt2,solver2,0.0262061
/p/graves/smtFiles/QF_ABV/egt/egt-0959.smt2,solver3,0.020987
/p/graves/smtFiles/QF_ABV/egt/egt-0959.smt2,solver4,0.028471
/p/graves/smtFiles/QF_ABV/egt/egt-1964.smt2,solver0,0.010345
/p/graves/smtFiles/QF_ABV/egt/egt-1964.smt2,solver1,0.012213
/p/graves/smtFiles/QF_ABV/egt/egt-1964.smt2,solver2,0.019901
/p/graves/smtFiles/QF_ABV/egt/egt-1964.smt2,solver3,0.019919
/p/graves/smtFiles/QF_ABV/egt/egt-1964.smt2,solver4,0.0210851
/p/graves/smtFiles/QF_ABV/egt/egt-5909.smt2,solver0,0.010403
/p/graves/smtFiles/QF_ABV/egt/egt-5909.smt2,solver1,0.0129081
/p/graves/smtFiles/QF_ABV/egt/egt-5909.smt2,solver2,0.017012
/p/graves/smtFiles/QF_ABV/egt/egt-5909.smt2,solver3,0.0348869
/p/graves/smtFiles/QF_ABV/egt/egt-5909.smt2,solver4,0.015474
/p/graves/smtFiles/QF_ABV/egt/egt-1838.smt2,solver0,0.0120689
/p/graves/smtFiles/QF_ABV/egt/egt-1838.smt2,solver1,0.009997
/p/graves/smtFiles/QF_ABV/egt/egt-1838.smt2,solver2,0.0201449
/p/graves/smtFiles/QF_ABV/egt/egt-1838.smt2,solver3,0.020887
/p/graves/smtFiles/QF_ABV/egt/egt-1838.smt2,solver4,0.0167
/p/graves/smtFiles/QF_ABV/egt/egt-5540.smt2,solver0,0.012861
/p/graves/smtFiles/QF_ABV/egt/egt-5540.smt2,solver1,0.0140789
/p/graves/smtFiles/QF_ABV/egt/egt-5540.smt2,solver2,0.0208319
/p/graves/smtFiles/QF_ABV/egt/egt-5540.smt2,solver3,0.0206081
/p/graves/smtFiles/QF_ABV/egt/egt-5540.smt2,solver4,0.0218559
/p/graves/smtFiles/QF_ABV/egt/egt-5353.smt2,solver0,0.00999189
/p/graves/smtFiles/QF_ABV/egt/egt-5353.smt2,solver1,0.0122621
/p/graves/smtFiles/QF_ABV/egt/egt-5353.smt2,solver2,0.01842
/p/graves/smtFiles/QF_ABV/egt/egt-5353.smt2,solver3,0.0188631
/p/graves/smtFiles/QF_ABV/egt/egt-5353.smt2,solver4,0.01454
/p/graves/smtFiles/QF_ABV/egt/egt-6544.smt2,solver0,0.441239
/p/graves/smtFiles/QF_ABV/egt/egt-6544.smt2,solver1,0.011335
/p/graves/smtFiles/QF_ABV/egt/egt-6544.smt2,solver2,0.335337
/p/graves/smtFiles/QF_ABV/egt/egt-6544.smt2,solver3,0.102565
/p/graves/smtFiles/QF_ABV/egt/egt-6544.smt2,solver4,0.223663
/p/graves/smtFiles/QF_ABV/dwp_formulas/try5_small_difret_functions_flanagansaxe_date.close_stdout_set_file_name.il.flanagansaxe.smt2,solver0,0.0123179
/p/graves/smtFiles/QF_ABV/dwp_formulas/try5_small_difret_functions_flanagansaxe_date.close_stdout_set_file_name.il.flanagansaxe.smt2,solver1,0.0124809
/p/graves/smtFiles/QF_ABV/dwp_formulas/try5_small_difret_functions_flanagansaxe_date.close_stdout_set_file_name.il.flanagansaxe.smt2,solver2,0.056526
/p/graves/smtFiles/QF_ABV/dwp_formulas/try5_small_difret_functions_flanagansaxe_date.close_stdout_set_file_name.il.flanagansaxe.smt2,solver3,0.0614659
/p/graves/smtFiles/QF_ABV/dwp_formulas/try5_small_difret_functions_flanagansaxe_date.close_stdout_set_file_name.il.flanagansaxe.smt2,solver4,0.02704
/p/graves/smtFiles/QF_UFBV/20210312-Bouvier/vlsat3_d93.smt2,solver0,7.20594
/p/graves/smtFiles/QF_UFBV/20210312-Bouvier/vlsat3_d93.smt2,solver1,2400
/p/graves/smtFiles/QF_UFBV/20210312-Bouvier/vlsat3_d93.smt2,solver2,2400
/p/graves/smtFiles/QF_UFBV/20210312-Bouvier/vlsat3_d93.smt2,solver3,715.443
/p/graves/smtFiles/QF_UFBV/20210312-Bouvier/vlsat3_d93.smt2,solver4,2400
/p/graves/smtFiles/QF_ABV/dwp_formulas/try4_difret_functions_disjunctions_pathchk.component_len.il.disjunctions_3.smt2,solver0,0.0101679
/p/graves/smtFiles/QF_ABV/dwp_formulas/try4_difret_functions_disjunctions_pathchk.component_len.il.disjunctions_3.smt2,solver1,0.0202359
/p/graves/smtFiles/QF_ABV/dwp_formulas/try4_difret_functions_disjunctions_pathchk.component_len.il.disjunctions_3.smt2,solver2,0.0277941
/p/graves/smtFiles/QF_ABV/dwp_formulas/try4_difret_functions_disjunctions_pathchk.component_len.il.disjunctions_3.smt2,solver3,0.018027
/p/graves/smtFiles/QF_ABV/dwp_formulas/try4_difret_functions_disjunctions_pathchk.component_len.il.disjunctions_3.smt2,solver4,0.0185251
/p/graves/smtFiles/QF_ABV/dwp_formulas/try4_true_functions_dwp_ptx.re_node_set_remove_at.il.dwp.smt2,solver0,0.0508891
/p/graves/smtFiles/QF_ABV/dwp_formulas/try4_true_functions_dwp_ptx.re_node_set_remove_at.il.dwp.smt2,solver1,0.016986
/p/graves/smtFiles/QF_ABV/dwp_formulas/try4_true_functions_dwp_ptx.re_node_set_remove_at.il.dwp.smt2,solver2,0.110134
/p/graves/smtFiles/QF_ABV/dwp_formulas/try4_true_functions_dwp_ptx.re_node_set_remove_at.il.dwp.smt2,solver3,0.164568
/p/graves/smtFiles/QF_ABV/dwp_formulas/try4_true_functions_dwp_ptx.re_node_set_remove_at.il.dwp.smt2,solver4,0.867902
/p/graves/smtFiles/QF_ABV/brummayerbiere/fifo32in10k09.smt2,solver0,0.474259
/p/graves/smtFiles/QF_ABV/brummayerbiere/fifo32in10k09.smt2,solver1,2400
/p/graves/smtFiles/QF_ABV/brummayerbiere/fifo32in10k09.smt2,solver2,2400
/p/graves/smtFiles/QF_ABV/brummayerbiere/fifo32in10k09.smt2,solver3,2400
/p/graves/smtFiles/QF_ABV/brummayerbiere/fifo32in10k09.smt2,solver4,2400
/p/graves/smtFiles/QF_ABV/egt/egt-6302.smt2,solver0,0.0283701
/p/graves/smtFiles/QF_ABV/egt/egt-6302.smt2,solver1,0.0103059
/p/graves/smtFiles/QF_ABV/egt/egt-6302.smt2,solver2,0.0468691
/p/graves/smtFiles/QF_ABV/egt/egt-6302.smt2,solver3,0.0314439
/p/graves/smtFiles/QF_ABV/egt/egt-6302.smt2,solver4,0.0728149
/p/graves/smtFiles/QF_ABV/egt/egt-4916.smt2,solver0,0.011399
/p/graves/smtFiles/QF_ABV/egt/egt-4916.smt2,solver1,0.00987789
/p/graves/smtFiles/QF_ABV/egt/egt-4916.smt2,solver2,0.026432
/p/graves/smtFiles/QF_ABV/egt/egt-4916.smt2,solver3,0.0316169
/p/graves/smtFiles/QF_ABV/egt/egt-4916.smt2,solver4,0.0222549
/p/graves/smtFiles/QF_ABV/klee-selected-smt2/cu-no-caches/_csplit-query-000002.smt2,solver0,0.0594021
/p/graves/smtFiles/QF_ABV/klee-selected-smt2/cu-no-caches/_csplit-query-000002.smt2,solver1,2.62288
/p/graves/smtFiles/QF_ABV/klee-selected-smt2/cu-no-caches/_csplit-query-000002.smt2,solver2,13.1736
/p/graves/smtFiles/QF_ABV/klee-selected-smt2/cu-no-caches/_csplit-query-000002.smt2,solver3,5.34873
/p/graves/smtFiles/QF_ABV/klee-selected-smt2/cu-no-caches/_csplit-query-000002.smt2,solver4,0.313855
/p/graves/smtFiles/QF_ABV/egt/egt-6460.smt2,solver0,0.038034
/p/graves/smtFiles/QF_ABV/egt/egt-6460.smt2,solver1,0.0107089
/p/graves/smtFiles/QF_ABV/egt/egt-6460.smt2,solver2,0.0469611
/p/graves/smtFiles/QF_ABV/egt/egt-6460.smt2,solver3,0.024321
/p/graves/smtFiles/QF_ABV/egt/egt-6460.smt2,solver4,0.077937
/p/graves/smtFiles/QF_ABV/egt/egt-7123.smt2,solver0,0.010459
/p/graves/smtFiles/QF_ABV/egt/egt-7123.smt2,solver1,0.00985097
/p/graves/smtFiles/QF_ABV/egt/egt-7123.smt2,solver2,0.0341441
/p/graves/smtFiles/QF_ABV/egt/egt-7123.smt2,solver3,0.021063
/p/graves/smtFiles/QF_ABV/egt/egt-7123.smt2,solver4,0.017012
/p/graves/smtFiles/QF_ABV/egt/egt-2564.smt2,solver0,0.0106359
/p/graves/smtFiles/QF_ABV/egt/egt-2564.smt2,solver1,0.0111229
