benchmark,solver,score
/p/graves/smtFiles/QF_AUFLIA/swap/swap_invalid_t3_pp_nf_ai_00003_005.cvc.smt2,solver0,0.0127041
/p/graves/smtFiles/QF_AUFLIA/swap/swap_invalid_t3_pp_nf_ai_00003_005.cvc.smt2,solver1,0.045186
/p/graves/smtFiles/QF_AUFLIA/swap/swap_invalid_t3_pp_nf_ai_00003_005.cvc.smt2,solver2,0.023493
/p/graves/smtFiles/QF_AUFLIA/swap/swap_invalid_t3_pp_nf_ai_00003_005.cvc.smt2,solver3,2400
/p/graves/smtFiles/QF_AUFLIA/swap/swap_invalid_t3_pp_nf_ai_00003_005.cvc.smt2,solver4,0.316562
/p/graves/smtFiles/QF_AUFLIA/swap/swap_invalid_t3_pp_nf_ai_00003_005.cvc.smt2,solver5,2400
/p/graves/smtFiles/QF_AUFLIA/swap/swap_invalid_t3_pp_nf_ai_00003_005.cvc.smt2,solver6,0.0165379
/p/graves/smtFiles/QF_UFLRA/mathsat/RandomDecoupled/pb_real_50_150_30_03.smt2,solver0,0.0317269
/p/graves/smtFiles/QF_UFLRA/mathsat/RandomDecoupled/pb_real_50_150_30_03.smt2,solver1,0.098412
/p/graves/smtFiles/QF_UFLRA/mathsat/RandomDecoupled/pb_real_50_150_30_03.smt2,solver2,0.066931
/p/graves/smtFiles/QF_UFLRA/mathsat/RandomDecoupled/pb_real_50_150_30_03.smt2,solver3,0.0426011
/p/graves/smtFiles/QF_UFLRA/mathsat/RandomDecoupled/pb_real_50_150_30_03.smt2,solver4,1.57907
/p/graves/smtFiles/QF_UFLRA/mathsat/RandomDecoupled/pb_real_50_150_30_03.smt2,solver5,0.0312361
/p/graves/smtFiles/QF_UFLRA/mathsat/RandomDecoupled/pb_real_50_150_30_03.smt2,solver6,0.0682579
/p/graves/smtFiles/QF_UFIDL/20210312-Bouvier/vlsat3_f51.smt2,solver0,2400
/p/graves/smtFiles/QF_UFIDL/20210312-Bouvier/vlsat3_f51.smt2,solver1,229.083
/p/graves/smtFiles/QF_UFIDL/20210312-Bouvier/vlsat3_f51.smt2,solver2,2400
/p/graves/smtFiles/QF_UFIDL/20210312-Bouvier/vlsat3_f51.smt2,solver3,2400
/p/graves/smtFiles/QF_UFIDL/20210312-Bouvier/vlsat3_f51.smt2,solver4,2400
/p/graves/smtFiles/QF_UFIDL/20210312-Bouvier/vlsat3_f51.smt2,solver5,2400
/p/graves/smtFiles/QF_UFIDL/20210312-Bouvier/vlsat3_f51.smt2,solver6,2400
/p/graves/smtFiles/QF_UFLRA/mathsat/RandomCoupled/pb_real_20_0200_10_24.smt2,solver0,0.0127661
/p/graves/smtFiles/QF_UFLRA/mathsat/RandomCoupled/pb_real_20_0200_10_24.smt2,solver1,0.0479321
/p/graves/smtFiles/QF_UFLRA/mathsat/RandomCoupled/pb_real_20_0200_10_24.smt2,solver2,0.032337
/p/graves/smtFiles/QF_UFLRA/mathsat/RandomCoupled/pb_real_20_0200_10_24.smt2,solver3,0.0210941
/p/graves/smtFiles/QF_UFLRA/mathsat/RandomCoupled/pb_real_20_0200_10_24.smt2,solver4,0.556952
/p/graves/smtFiles/QF_UFLRA/mathsat/RandomCoupled/pb_real_20_0200_10_24.smt2,solver5,0.0190149
/p/graves/smtFiles/QF_UFLRA/mathsat/RandomCoupled/pb_real_20_0200_10_24.smt2,solver6,0.0463731
/p/graves/smtFiles/QF_AUFLIA/storecomm/storecomm_invalid_t3_pp_sf_ni_00010_008.cvc.smt2,solver0,0.00952392
/p/graves/smtFiles/QF_AUFLIA/storecomm/storecomm_invalid_t3_pp_sf_ni_00010_008.cvc.smt2,solver1,0.0265819
/p/graves/smtFiles/QF_AUFLIA/storecomm/storecomm_invalid_t3_pp_sf_ni_00010_008.cvc.smt2,solver2,0.024977
/p/graves/smtFiles/QF_AUFLIA/storecomm/storecomm_invalid_t3_pp_sf_ni_00010_008.cvc.smt2,solver3,2400
/p/graves/smtFiles/QF_AUFLIA/storecomm/storecomm_invalid_t3_pp_sf_ni_00010_008.cvc.smt2,solver4,0.335431
