benchmark,solver,score
QF_UFLIA/mathsat/Wisa/xs-19-10-3-5-2-5.smt2,solver0,0.00970605
QF_UFLIA/mathsat/Wisa/xs-19-10-3-5-2-5.smt2,solver1,0.077005
QF_UFLIA/mathsat/Wisa/xs-19-10-3-5-2-5.smt2,solver2,0.072589
QF_UFLIA/mathsat/Wisa/xs-19-10-3-5-2-5.smt2,solver3,2400
QF_UFLIA/mathsat/Wisa/xs-19-10-3-5-2-5.smt2,solver4,1.28387
QF_UFLIA/mathsat/Wisa/xs-19-10-3-5-2-5.smt2,solver5,0.60877
QF_UFLIA/mathsat/Wisa/xs-19-10-3-5-2-5.smt2,solver6,0.085794
QF_UFLIA/wisas/xs_11_11.smt2,solver0,0.013598
QF_UFLIA/wisas/xs_11_11.smt2,solver1,0.047395
QF_UFLIA/wisas/xs_11_11.smt2,solver2,0.0752399
QF_UFLIA/wisas/xs_11_11.smt2,solver3,2400
QF_UFLIA/wisas/xs_11_11.smt2,solver4,0.690346
QF_UFLIA/wisas/xs_11_11.smt2,solver5,8.75165
QF_UFLIA/wisas/xs_11_11.smt2,solver6,0.0468279
QF_UFDTLIRA/20200306-Kanig/spark2014bench/stopwatch__user.ads_26_17_ceiling__priority_protocol___00.smt2,solver0,2400
QF_UFDTLIRA/20200306-Kanig/spark2014bench/stopwatch__user.ads_26_17_ceiling__priority_protocol___00.smt2,solver1,0.0173861
QF_UFDTLIRA/20200306-Kanig/spark2014bench/stopwatch__user.ads_26_17_ceiling__priority_protocol___00.smt2,solver2,2400
QF_UFDTLIRA/20200306-Kanig/spark2014bench/stopwatch__user.ads_26_17_ceiling__priority_protocol___00.smt2,solver3,2400
QF_UFDTLIRA/20200306-Kanig/spark2014bench/stopwatch__user.ads_26_17_ceiling__priority_protocol___00.smt2,solver4,0.296877
QF_UFDTLIRA/20200306-Kanig/spark2014bench/stopwatch__user.ads_26_17_ceiling__priority_protocol___00.smt2,solver5,2400
QF_UFDTLIRA/20200306-Kanig/spark2014bench/stopwatch__user.ads_26_17_ceiling__priority_protocol___00.smt2,solver6,2400
QF_ALIA/piVC/piVC_46582a.smt2,solver0,0.0137369
QF_ALIA/piVC/piVC_46582a.smt2,solver1,0.123824
QF_ALIA/piVC/piVC_46582a.smt2,solver2,0.044303
QF_ALIA/piVC/piVC_46582a.smt2,solver3,2400
QF_ALIA/piVC/piVC_46582a.smt2,solver4,0.809628
QF_ALIA/piVC/piVC_46582a.smt2,solver5,0.035645
QF_ALIA/piVC/piVC_46582a.smt2,solver6,0.0828079
QF_AUFLIA/storecomm/storecomm_t3_pp_nf_ai_00050_008.cvc.smt2,solver0,0.173704
QF_AUFLIA/storecomm/storecomm_t3_pp_nf_ai_00050_008.cvc.smt2,solver1,0.132442
QF_AUFLIA/storecomm/storecomm_t3_pp_nf_ai_00050_008.cvc.smt2,solver2,2.09305
QF_AUFLIA/storecomm/storecomm_t3_pp_nf_ai_00050_008.cvc.smt2,solver3,2400
QF_AUFLIA/storecomm/storecomm_t3_pp_nf_ai_00050_008.cvc.smt2,solver4,1.53116
QF_AUFLIA/storecomm/storecomm_t3_pp_nf_ai_00050_008.cvc.smt2,solver5,2400
QF_AUFLIA/storecomm/storecomm_t3_pp_nf_ai_00050_008.cvc.smt2,solver6,0.0326069
QF_UFIDL/20210312-Bouvier/vlsat3_f68.smt2,solver0,2400
QF_UFIDL/20210312-Bouvier/vlsat3_f68.smt2,solver1,2400
QF_UFIDL/20210312-Bouvier/vlsat3_f68.smt2,solver2,210.047
QF_UFIDL/20210312-Bouvier/vlsat3_f68.smt2,solver3,2400
QF_UFIDL/20210312-Bouvier/vlsat3_f68.smt2,solver4,1089.8
QF_UFIDL/20210312-Bouvier/vlsat3_f68.smt2,solver5,2400
QF_UFIDL/20210312-Bouvier/vlsat3_f68.smt2,solver6,782.012
QF_UFLIA/wisas/xs_31_51.smt2,solver0,0.062239
QF_UFLIA/wisas/xs_31_51.smt2,solver1,0.0911771
QF_UFLIA/wisas/xs_31_51.smt2,solver2,216.654
QF_UFLIA/wisas/xs_31_51.smt2,solver3,2400
QF_UFLIA/wisas/xs_31_51.smt2,solver4,2.15997
QF_UFLIA/wisas/xs_31_51.smt2,solver5,447.826
QF_UFLIA/wisas/xs_31_51.smt2,solver6,0.234828
QF_UFLRA/mathsat/RandomCoupled/pb_real_30_0600_10_18.smt2,solver0,0.053534
QF_UFLRA/mathsat/RandomCoupled/pb_real_30_0600_10_18.smt2,solver1,0.138585
QF_UFLRA/mathsat/RandomCoupled/pb_real_30_0600_10_18.smt2,solver2,0.0669899
QF_UFLRA/mathsat/RandomCoupled/pb_real_30_0600_10_18.smt2,solver3,0.149243
QF_UFLRA/mathsat/RandomCoupled/pb_real_30_0600_10_18.smt2,solver4,2.58021
QF_UFLRA/mathsat/RandomCoupled/pb_real_30_0600_10_18.smt2,solver5,0.062962
QF_UFLRA/mathsat/RandomCoupled/pb_real_30_0600_10_18.smt2,solver6,0.100415
QF_UFLIA/mathsat/Hash/hash_sat_10_19.smt2,solver0,0.025311
QF_UFLIA/mathsat/Hash/hash_sat_10_19.smt2,solver1,8.30108
QF_UFLIA/mathsat/Hash/hash_sat_10_19.smt2,solver2,0.916177
QF_UFLIA/mathsat/Hash/hash_sat_10_19.smt2,solver3,2400
QF_UFLIA/mathsat/Hash/hash_sat_10_19.smt2,solver4,0.91127
QF_UFLIA/mathsat/Hash/hash_sat_10_19.smt2,solver5,0.036278
QF_UFLIA/mathsat/Hash/hash_sat_10_19.smt2,solver6,0.0644611
QF_UFLIA/mathsat/Wisa/xs-15-18-4-1-3-5.smt2,solver0,0.0098191
QF_UFLIA/mathsat/Wisa/xs-15-18-4-1-3-5.smt2,solver1,0.419481
QF_UFLIA/mathsat/Wisa/xs-15-18-4-1-3-5.smt2,solver2,0.349432
QF_UFLIA/mathsat/Wisa/xs-15-18-4-1-3-5.smt2,solver3,2400
QF_UFLIA/mathsat/Wisa/xs-15-18-4-1-3-5.smt2,solver4,0.905476
QF_UFLIA/mathsat/Wisa/xs-15-18-4-1-3-5.smt2,solver5,50.5435
QF_UFLIA/mathsat/Wisa/xs-15-18-4-1-3-5.smt2,solver6,0.0783579
QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem04_20_true-unreach-call.c.smt2,solver0,0.1446
QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem04_20_true-unreach-call.c.smt2,solver1,3.45929
QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem04_20_true-unreach-call.c.smt2,solver2,0.350268
QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem04_20_true-unreach-call.c.smt2,solver3,3.06342
QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem04_20_true-unreach-call.c.smt2,solver4,8.47882
QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem04_20_true-unreach-call.c.smt2,solver5,0.442909
QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem04_20_true-unreach-call.c.smt2,solver6,1186.93
QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem14_20_true-unreach-call.c.smt2,solver0,0.020345
QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem14_20_true-unreach-call.c.smt2,solver1,0.210163
QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem14_20_true-unreach-call.c.smt2,solver2,0.040948
QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem14_20_true-unreach-call.c.smt2,solver3,0.081871
QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem14_20_true-unreach-call.c.smt2,solver4,1.20573
QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem14_20_true-unreach-call.c.smt2,solver5,0.0373829
QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem14_20_true-unreach-call.c.smt2,solver6,3.85353
QF_ALIA/array_benchmarks/qlock/qlock-mutex-20.smt2,solver0,2.47577
QF_ALIA/array_benchmarks/qlock/qlock-mutex-20.smt2,solver1,2400
QF_ALIA/array_benchmarks/qlock/qlock-mutex-20.smt2,solver2,14.7223
QF_ALIA/array_benchmarks/qlock/qlock-mutex-20.smt2,solver3,2400
QF_ALIA/array_benchmarks/qlock/qlock-mutex-20.smt2,solver4,123.446
QF_ALIA/array_benchmarks/qlock/qlock-mutex-20.smt2,solver5,2400
QF_ALIA/array_benchmarks/qlock/qlock-mutex-20.smt2,solver6,30.4952
QF_AUFLIA/storecomm/storecomm_invalid_t1_pp_nf_ni_00040_007.cvc.smt2,solver0,0.044751
QF_AUFLIA/storecomm/storecomm_invalid_t1_pp_nf_ni_00040_007.cvc.smt2,solver1,0.0920651
