benchmark,solver,score
/p/graves/smtFiles/QF_UFNIA/201903-Zohar-alive/qf_InstCombineShift440_values_0.smt2,solver0,0.018621
/p/graves/smtFiles/QF_UFNIA/201903-Zohar-alive/qf_InstCombineShift440_values_0.smt2,solver1,0.263539
/p/graves/smtFiles/QF_UFNIA/201903-Zohar-alive/qf_InstCombineShift440_values_0.smt2,solver2,0.0623759
/p/graves/smtFiles/QF_UFNIA/201903-Zohar-alive/qf_InstCombineShift440_values_0.smt2,solver3,2400
/p/graves/smtFiles/QF_UFNIA/201903-Zohar-alive/qf_InstCombineShift440_values_0.smt2,solver4,0.107331
/p/graves/smtFiles/QF_AUFNIA/UltimateAutomizer/s3_srvr.blast.16_true-unreach-call.i.cil.c_2036.smt2,solver0,2400
/p/graves/smtFiles/QF_AUFNIA/UltimateAutomizer/s3_srvr.blast.16_true-unreach-call.i.cil.c_2036.smt2,solver1,9.65226
/p/graves/smtFiles/QF_AUFNIA/UltimateAutomizer/s3_srvr.blast.16_true-unreach-call.i.cil.c_2036.smt2,solver2,0.933887
/p/graves/smtFiles/QF_AUFNIA/UltimateAutomizer/s3_srvr.blast.16_true-unreach-call.i.cil.c_2036.smt2,solver3,2400
/p/graves/smtFiles/QF_AUFNIA/UltimateAutomizer/s3_srvr.blast.16_true-unreach-call.i.cil.c_2036.smt2,solver4,0.157132
/p/graves/smtFiles/QF_UFNIA/201903-Zohar-alive/qf_AndOrXor:2231_values_0.smt2,solver0,0.0210161
/p/graves/smtFiles/QF_UFNIA/201903-Zohar-alive/qf_AndOrXor:2231_values_0.smt2,solver1,0.022997
/p/graves/smtFiles/QF_UFNIA/201903-Zohar-alive/qf_AndOrXor:2231_values_0.smt2,solver2,0.0201321
/p/graves/smtFiles/QF_UFNIA/201903-Zohar-alive/qf_AndOrXor:2231_values_0.smt2,solver3,2400
/p/graves/smtFiles/QF_UFNIA/201903-Zohar-alive/qf_AndOrXor:2231_values_0.smt2,solver4,0.031756
/p/graves/smtFiles/QF_UFNIA/201903-Zohar-alive/qf_Select:719_values_0.smt2,solver0,0.023764
/p/graves/smtFiles/QF_UFNIA/201903-Zohar-alive/qf_Select:719_values_0.smt2,solver1,2400
/p/graves/smtFiles/QF_UFNIA/201903-Zohar-alive/qf_Select:719_values_0.smt2,solver2,2400
/p/graves/smtFiles/QF_UFNIA/201903-Zohar-alive/qf_Select:719_values_0.smt2,solver3,2400
/p/graves/smtFiles/QF_UFNIA/201903-Zohar-alive/qf_Select:719_values_0.smt2,solver4,0.033952
/p/graves/smtFiles/QF_UFNIA/201903-Zohar-ic/int_check_bvuge_bvand_rtl.smt2,solver0,0.01371
/p/graves/smtFiles/QF_UFNIA/201903-Zohar-ic/int_check_bvuge_bvand_rtl.smt2,solver1,0.022117
/p/graves/smtFiles/QF_UFNIA/201903-Zohar-ic/int_check_bvuge_bvand_rtl.smt2,solver2,0.0196001
/p/graves/smtFiles/QF_UFNIA/201903-Zohar-ic/int_check_bvuge_bvand_rtl.smt2,solver3,2400
/p/graves/smtFiles/QF_UFNIA/201903-Zohar-ic/int_check_bvuge_bvand_rtl.smt2,solver4,0.0317241
