benchmark,solver,score
QF_UFNIA/201903-Zohar-ic/int_check_bvugt_bvadd_ltr_inv_g.smt2,solver0,2400
QF_UFNIA/201903-Zohar-ic/int_check_bvugt_bvadd_ltr_inv_g.smt2,solver1,0.0602129
QF_UFNIA/201903-Zohar-ic/int_check_bvugt_bvadd_ltr_inv_g.smt2,solver2,0.0313081
QF_UFNIA/201903-Zohar-ic/int_check_bvugt_bvadd_ltr_inv_g.smt2,solver3,2400
QF_UFNIA/201903-Zohar-ic/int_check_bvugt_bvadd_ltr_inv_g.smt2,solver4,0.03415
QF_UFNIA/201903-Zohar-ic/int_check_bvult_bvmul_rtl.smt2,solver0,0.0120681
QF_UFNIA/201903-Zohar-ic/int_check_bvult_bvmul_rtl.smt2,solver1,0.0230971
QF_UFNIA/201903-Zohar-ic/int_check_bvult_bvmul_rtl.smt2,solver2,0.151742
QF_UFNIA/201903-Zohar-ic/int_check_bvult_bvmul_rtl.smt2,solver3,2400
QF_UFNIA/201903-Zohar-ic/int_check_bvult_bvmul_rtl.smt2,solver4,0.032405
QF_UFNIA/201903-Zohar-alive/qf_AndOrXor:273_values_7.smt2,solver0,0.0417831
QF_UFNIA/201903-Zohar-alive/qf_AndOrXor:273_values_7.smt2,solver1,0.150875
QF_UFNIA/201903-Zohar-alive/qf_AndOrXor:273_values_7.smt2,solver2,0.417611
QF_UFNIA/201903-Zohar-alive/qf_AndOrXor:273_values_7.smt2,solver3,2400
QF_UFNIA/201903-Zohar-alive/qf_AndOrXor:273_values_7.smt2,solver4,0.0471249
QF_UFNIA/201903-Zohar-ic/int_check_bvsle_bvshl0_rtl.smt2,solver0,0.0291419
QF_UFNIA/201903-Zohar-ic/int_check_bvsle_bvshl0_rtl.smt2,solver1,0.294046
QF_UFNIA/201903-Zohar-ic/int_check_bvsle_bvshl0_rtl.smt2,solver2,0.536035
QF_UFNIA/201903-Zohar-ic/int_check_bvsle_bvshl0_rtl.smt2,solver3,2400
QF_UFNIA/201903-Zohar-ic/int_check_bvsle_bvshl0_rtl.smt2,solver4,0.075471
QF_UFNIA/20190909-CLEARSY/0015/00249.smt2,solver0,0.0215569
QF_UFNIA/20190909-CLEARSY/0015/00249.smt2,solver1,0.038367
QF_UFNIA/20190909-CLEARSY/0015/00249.smt2,solver2,2400
QF_UFNIA/20190909-CLEARSY/0015/00249.smt2,solver3,2400
QF_UFNIA/20190909-CLEARSY/0015/00249.smt2,solver4,0.0310269
QF_UFNIA/201903-Zohar-ic/int_check_bvslt_bvand_rtl.smt2,solver0,0.0145749
