benchmark,solver,score
/p/graves/smtFiles/QF_UF/QG-classification/qg5/gensys_brn685.smt2,solver0,0.0373569
/p/graves/smtFiles/QF_UF/QG-classification/qg5/gensys_brn685.smt2,solver1,0.0199831
/p/graves/smtFiles/QF_UF/QG-classification/qg5/gensys_brn685.smt2,solver2,0.16655
/p/graves/smtFiles/QF_UF/QG-classification/qg5/gensys_brn685.smt2,solver3,0.119814
/p/graves/smtFiles/QF_UF/QG-classification/qg5/gensys_brn685.smt2,solver4,1.10451
/p/graves/smtFiles/QF_UF/QG-classification/qg5/gensys_brn685.smt2,solver5,0.0364649
/p/graves/smtFiles/QF_UF/QG-classification/qg5/gensys_brn685.smt2,solver6,0.030064
/p/graves/smtFiles/QF_UF/QG-classification/qg5/gensys_icl1274.smt2,solver0,0.823191
/p/graves/smtFiles/QF_UF/QG-classification/qg5/gensys_icl1274.smt2,solver1,0.023491
/p/graves/smtFiles/QF_UF/QG-classification/qg5/gensys_icl1274.smt2,solver2,0.570071
/p/graves/smtFiles/QF_UF/QG-classification/qg5/gensys_icl1274.smt2,solver3,0.298012
/p/graves/smtFiles/QF_UF/QG-classification/qg5/gensys_icl1274.smt2,solver4,2.89811
/p/graves/smtFiles/QF_UF/QG-classification/qg5/gensys_icl1274.smt2,solver5,0.031044
/p/graves/smtFiles/QF_UF/QG-classification/qg5/gensys_icl1274.smt2,solver6,0.567306
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_icl922.smt2,solver0,0.0418849
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_icl922.smt2,solver1,0.0216131
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_icl922.smt2,solver2,0.087311
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_icl922.smt2,solver3,0.0422429
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_icl922.smt2,solver4,0.845906
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_icl922.smt2,solver5,0.0240179
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_icl922.smt2,solver6,0.036604
/p/graves/smtFiles/QF_AX/storecomm/storecomm_t2_np_sf_ai_00010_006.cvc.smt2,solver0,2400
/p/graves/smtFiles/QF_AX/storecomm/storecomm_t2_np_sf_ai_00010_006.cvc.smt2,solver1,0.0400599
/p/graves/smtFiles/QF_AX/storecomm/storecomm_t2_np_sf_ai_00010_006.cvc.smt2,solver2,0.0226209
/p/graves/smtFiles/QF_AX/storecomm/storecomm_t2_np_sf_ai_00010_006.cvc.smt2,solver3,0.024351
/p/graves/smtFiles/QF_AX/storecomm/storecomm_t2_np_sf_ai_00010_006.cvc.smt2,solver4,0.376913
/p/graves/smtFiles/QF_AX/storecomm/storecomm_t2_np_sf_ai_00010_006.cvc.smt2,solver5,2400
/p/graves/smtFiles/QF_AX/storecomm/storecomm_t2_np_sf_ai_00010_006.cvc.smt2,solver6,0.0323319
/p/graves/smtFiles/QF_UF/QG-classification/qg6/iso_brn_repgen_sk004.smt2,solver0,0.103224
/p/graves/smtFiles/QF_UF/QG-classification/qg6/iso_brn_repgen_sk004.smt2,solver1,0.021936
/p/graves/smtFiles/QF_UF/QG-classification/qg6/iso_brn_repgen_sk004.smt2,solver2,0.163262
/p/graves/smtFiles/QF_UF/QG-classification/qg6/iso_brn_repgen_sk004.smt2,solver3,0.066853
/p/graves/smtFiles/QF_UF/QG-classification/qg6/iso_brn_repgen_sk004.smt2,solver4,1.6702
/p/graves/smtFiles/QF_UF/QG-classification/qg6/iso_brn_repgen_sk004.smt2,solver5,0.0488241
/p/graves/smtFiles/QF_UF/QG-classification/qg6/iso_brn_repgen_sk004.smt2,solver6,0.0958119
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn188.smt2,solver0,0.03441
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn188.smt2,solver1,0.0167219
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn188.smt2,solver2,0.0790789
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn188.smt2,solver3,0.0362399
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn188.smt2,solver4,0.709536
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn188.smt2,solver5,0.0208781
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn188.smt2,solver6,0.03315
/p/graves/smtFiles/QF_UFDT/20210312-Bouvier/vlsat3_e23.smt2,solver0,2400
/p/graves/smtFiles/QF_UFDT/20210312-Bouvier/vlsat3_e23.smt2,solver1,2400
/p/graves/smtFiles/QF_UFDT/20210312-Bouvier/vlsat3_e23.smt2,solver2,251.827
/p/graves/smtFiles/QF_UFDT/20210312-Bouvier/vlsat3_e23.smt2,solver3,2400
/p/graves/smtFiles/QF_UFDT/20210312-Bouvier/vlsat3_e23.smt2,solver4,2400
/p/graves/smtFiles/QF_UFDT/20210312-Bouvier/vlsat3_e23.smt2,solver5,2400
/p/graves/smtFiles/QF_UFDT/20210312-Bouvier/vlsat3_e23.smt2,solver6,603.944
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn463.smt2,solver0,0.0235059
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn463.smt2,solver1,0.0213369
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn463.smt2,solver2,0.0629241
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn463.smt2,solver3,0.034328
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn463.smt2,solver4,0.606661
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn463.smt2,solver5,0.017619
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn463.smt2,solver6,0.0281959
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn500.smt2,solver0,0.0296009
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn500.smt2,solver1,0.00949806
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn500.smt2,solver2,0.0698041
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn500.smt2,solver3,0.036335
