benchmark,solver,score
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_icl200.smt2,solver0,0.032964
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_icl200.smt2,solver1,0.018306
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_icl200.smt2,solver2,0.0729821
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_icl200.smt2,solver3,0.036207
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_icl200.smt2,solver4,0.720228
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_icl200.smt2,solver5,0.0412751
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_icl200.smt2,solver6,0.031478
/p/graves/smtFiles/QF_DT/20210312-Bouvier/vlsat3_h30.smt2,solver0,2400
/p/graves/smtFiles/QF_DT/20210312-Bouvier/vlsat3_h30.smt2,solver1,2400
/p/graves/smtFiles/QF_DT/20210312-Bouvier/vlsat3_h30.smt2,solver2,2400
/p/graves/smtFiles/QF_DT/20210312-Bouvier/vlsat3_h30.smt2,solver3,2400
/p/graves/smtFiles/QF_DT/20210312-Bouvier/vlsat3_h30.smt2,solver4,2400
/p/graves/smtFiles/QF_DT/20210312-Bouvier/vlsat3_h30.smt2,solver5,2400
/p/graves/smtFiles/QF_DT/20210312-Bouvier/vlsat3_h30.smt2,solver6,634.103
/p/graves/smtFiles/QF_UF/NEQ/NEQ031_size8.smt2,solver0,5.71181
/p/graves/smtFiles/QF_UF/NEQ/NEQ031_size8.smt2,solver1,1.51894
/p/graves/smtFiles/QF_UF/NEQ/NEQ031_size8.smt2,solver2,2.97193
/p/graves/smtFiles/QF_UF/NEQ/NEQ031_size8.smt2,solver3,1.62145
/p/graves/smtFiles/QF_UF/NEQ/NEQ031_size8.smt2,solver4,11.6494
/p/graves/smtFiles/QF_UF/NEQ/NEQ031_size8.smt2,solver5,0.216772
/p/graves/smtFiles/QF_UF/NEQ/NEQ031_size8.smt2,solver6,4.10497
/p/graves/smtFiles/QF_UF/2018-Goel-hwbench/QF_UF_needham.1.prop4_ab_reg_max.smt2,solver0,0.0749411
/p/graves/smtFiles/QF_UF/2018-Goel-hwbench/QF_UF_needham.1.prop4_ab_reg_max.smt2,solver1,0.0193031
/p/graves/smtFiles/QF_UF/2018-Goel-hwbench/QF_UF_needham.1.prop4_ab_reg_max.smt2,solver2,0.102146
/p/graves/smtFiles/QF_UF/2018-Goel-hwbench/QF_UF_needham.1.prop4_ab_reg_max.smt2,solver3,0.03964
/p/graves/smtFiles/QF_UF/2018-Goel-hwbench/QF_UF_needham.1.prop4_ab_reg_max.smt2,solver4,0.790254
/p/graves/smtFiles/QF_UF/2018-Goel-hwbench/QF_UF_needham.1.prop4_ab_reg_max.smt2,solver5,0.044144
/p/graves/smtFiles/QF_UF/2018-Goel-hwbench/QF_UF_needham.1.prop4_ab_reg_max.smt2,solver6,0.032948
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn827.smt2,solver0,0.0249599
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn827.smt2,solver1,0.0130429
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn827.smt2,solver2,0.0713351
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn827.smt2,solver3,0.034852
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn827.smt2,solver4,0.554874
/p/graves/smtFiles/QF_UF/QG-classification/qg5/iso_brn827.smt2,solver5,0.019157
