benchmark,solver,score
/p/graves/smtFiles/QF_LIA/CAV_2009_benchmarks/smt/20-vars/problem_2__016.smt2,solver0,2400
/p/graves/smtFiles/QF_LIA/CAV_2009_benchmarks/smt/20-vars/problem_2__016.smt2,solver1,0.0112931
/p/graves/smtFiles/QF_LIA/CAV_2009_benchmarks/smt/20-vars/problem_2__016.smt2,solver2,2400
/p/graves/smtFiles/QF_LIA/CAV_2009_benchmarks/smt/20-vars/problem_2__016.smt2,solver3,0.0467801
/p/graves/smtFiles/QF_LIA/CAV_2009_benchmarks/smt/20-vars/problem_2__016.smt2,solver4,0.0629569
/p/graves/smtFiles/QF_LIA/CAV_2009_benchmarks/smt/20-vars/problem_2__016.smt2,solver5,2.71018
/p/graves/smtFiles/QF_LIA/CAV_2009_benchmarks/smt/20-vars/problem_2__016.smt2,solver6,2400
/p/graves/smtFiles/QF_LIA/CAV_2009_benchmarks/smt/20-vars/problem_2__016.smt2,solver7,0.139412
/p/graves/smtFiles/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem__014.smt2.slack.smt2,solver0,2400
/p/graves/smtFiles/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem__014.smt2.slack.smt2,solver1,2400
/p/graves/smtFiles/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem__014.smt2.slack.smt2,solver2,2400
/p/graves/smtFiles/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem__014.smt2.slack.smt2,solver3,0.0525859
/p/graves/smtFiles/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem__014.smt2.slack.smt2,solver4,0.045551
/p/graves/smtFiles/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem__014.smt2.slack.smt2,solver5,2400
/p/graves/smtFiles/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem__014.smt2.slack.smt2,solver6,187.878
/p/graves/smtFiles/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem__014.smt2.slack.smt2,solver7,0.0825869
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-16-41.smt2,solver0,102.792
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-16-41.smt2,solver1,1.41526
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-16-41.smt2,solver2,2400
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-16-41.smt2,solver3,148.347
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-16-41.smt2,solver4,75.4484
