benchmark,solver,score
/p/graves/smtFiles/QF_LIA/nec-smt/large/getoption_user/prp-17-49.smt2,solver0,207.191
/p/graves/smtFiles/QF_LIA/nec-smt/large/getoption_user/prp-17-49.smt2,solver1,2.07639
/p/graves/smtFiles/QF_LIA/nec-smt/large/getoption_user/prp-17-49.smt2,solver2,2400
/p/graves/smtFiles/QF_LIA/nec-smt/large/getoption_user/prp-17-49.smt2,solver3,290.597
/p/graves/smtFiles/QF_LIA/nec-smt/large/getoption_user/prp-17-49.smt2,solver4,430.966
/p/graves/smtFiles/QF_LIA/nec-smt/large/getoption_user/prp-17-49.smt2,solver5,2400
/p/graves/smtFiles/QF_LIA/nec-smt/large/getoption_user/prp-17-49.smt2,solver6,2400
/p/graves/smtFiles/QF_LIA/nec-smt/large/getoption_user/prp-17-49.smt2,solver7,78.5371
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-49-46.smt2,solver0,412.49
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-49-46.smt2,solver1,9.01578
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-49-46.smt2,solver2,2400
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-49-46.smt2,solver3,194.047
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-49-46.smt2,solver4,168.326
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-49-46.smt2,solver5,2400
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-49-46.smt2,solver6,2400
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-49-46.smt2,solver7,1179.53
/p/graves/smtFiles/QF_LIA/nec-smt/large/user_is_in_group/prp-5-49.smt2,solver0,1196.78
/p/graves/smtFiles/QF_LIA/nec-smt/large/user_is_in_group/prp-5-49.smt2,solver1,1.56597
/p/graves/smtFiles/QF_LIA/nec-smt/large/user_is_in_group/prp-5-49.smt2,solver2,2400
/p/graves/smtFiles/QF_LIA/nec-smt/large/user_is_in_group/prp-5-49.smt2,solver3,428.588
/p/graves/smtFiles/QF_LIA/nec-smt/large/user_is_in_group/prp-5-49.smt2,solver4,373.763
/p/graves/smtFiles/QF_LIA/nec-smt/large/user_is_in_group/prp-5-49.smt2,solver5,80.9316
/p/graves/smtFiles/QF_LIA/nec-smt/large/user_is_in_group/prp-5-49.smt2,solver6,2400
/p/graves/smtFiles/QF_LIA/nec-smt/large/user_is_in_group/prp-5-49.smt2,solver7,150.481
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-18-34.smt2,solver0,28.8996
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-18-34.smt2,solver1,0.332475
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-18-34.smt2,solver2,2400
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-18-34.smt2,solver3,218.539
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-18-34.smt2,solver4,17.9755
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-18-34.smt2,solver5,8.19086
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-18-34.smt2,solver6,2400
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass_pwd/prp-18-34.smt2,solver7,20.9816
/p/graves/smtFiles/QF_LIA/nec-smt/large/getoption_user/prp-0-50.smt2,solver0,1087.45
/p/graves/smtFiles/QF_LIA/nec-smt/large/getoption_user/prp-0-50.smt2,solver1,1.37637
/p/graves/smtFiles/QF_LIA/nec-smt/large/getoption_user/prp-0-50.smt2,solver2,2400
/p/graves/smtFiles/QF_LIA/nec-smt/large/getoption_user/prp-0-50.smt2,solver3,324.202
/p/graves/smtFiles/QF_LIA/nec-smt/large/getoption_user/prp-0-50.smt2,solver4,523.306
/p/graves/smtFiles/QF_LIA/nec-smt/large/getoption_user/prp-0-50.smt2,solver5,124.613
/p/graves/smtFiles/QF_LIA/nec-smt/large/getoption_user/prp-0-50.smt2,solver6,2400
/p/graves/smtFiles/QF_LIA/nec-smt/large/getoption_user/prp-0-50.smt2,solver7,91.354
/p/graves/smtFiles/QF_IDL/queens_bench/super_queen/super_queen40-1.smt2,solver0,43.742
/p/graves/smtFiles/QF_IDL/queens_bench/super_queen/super_queen40-1.smt2,solver1,0.077498
/p/graves/smtFiles/QF_IDL/queens_bench/super_queen/super_queen40-1.smt2,solver2,0.0952819
/p/graves/smtFiles/QF_IDL/queens_bench/super_queen/super_queen40-1.smt2,solver3,8.095
/p/graves/smtFiles/QF_IDL/queens_bench/super_queen/super_queen40-1.smt2,solver4,21.4295
/p/graves/smtFiles/QF_IDL/queens_bench/super_queen/super_queen40-1.smt2,solver5,20.0703
/p/graves/smtFiles/QF_IDL/queens_bench/super_queen/super_queen40-1.smt2,solver6,13.2314
/p/graves/smtFiles/QF_IDL/queens_bench/super_queen/super_queen40-1.smt2,solver7,0.16496
/p/graves/smtFiles/QF_LIA/convert/convert-jpg2gif-query-1485.smt2,solver0,2400
/p/graves/smtFiles/QF_LIA/convert/convert-jpg2gif-query-1485.smt2,solver1,2400
/p/graves/smtFiles/QF_LIA/convert/convert-jpg2gif-query-1485.smt2,solver2,2400
/p/graves/smtFiles/QF_LIA/convert/convert-jpg2gif-query-1485.smt2,solver3,2400
/p/graves/smtFiles/QF_LIA/convert/convert-jpg2gif-query-1485.smt2,solver4,0.412409
/p/graves/smtFiles/QF_LIA/convert/convert-jpg2gif-query-1485.smt2,solver5,2400
/p/graves/smtFiles/QF_LIA/convert/convert-jpg2gif-query-1485.smt2,solver6,0.373441
/p/graves/smtFiles/QF_LIA/convert/convert-jpg2gif-query-1485.smt2,solver7,2400
/p/graves/smtFiles/QF_LIA/convert/convert-jpg2gif-query-1532.smt2,solver0,2400
/p/graves/smtFiles/QF_LIA/convert/convert-jpg2gif-query-1532.smt2,solver1,691.979
/p/graves/smtFiles/QF_LIA/convert/convert-jpg2gif-query-1532.smt2,solver2,2400
/p/graves/smtFiles/QF_LIA/convert/convert-jpg2gif-query-1532.smt2,solver3,200.319
/p/graves/smtFiles/QF_LIA/convert/convert-jpg2gif-query-1532.smt2,solver4,2400
/p/graves/smtFiles/QF_LIA/convert/convert-jpg2gif-query-1532.smt2,solver5,2400
/p/graves/smtFiles/QF_LIA/convert/convert-jpg2gif-query-1532.smt2,solver6,2400
/p/graves/smtFiles/QF_LIA/convert/convert-jpg2gif-query-1532.smt2,solver7,2400
/p/graves/smtFiles/QF_LIA/slacks/45-8.slack.smt2,solver0,2400
/p/graves/smtFiles/QF_LIA/slacks/45-8.slack.smt2,solver1,0.0109731
/p/graves/smtFiles/QF_LIA/slacks/45-8.slack.smt2,solver2,2400
/p/graves/smtFiles/QF_LIA/slacks/45-8.slack.smt2,solver3,0.217492
/p/graves/smtFiles/QF_LIA/slacks/45-8.slack.smt2,solver4,0.0388079
/p/graves/smtFiles/QF_LIA/slacks/45-8.slack.smt2,solver5,0.437367
/p/graves/smtFiles/QF_LIA/slacks/45-8.slack.smt2,solver6,0.013968
/p/graves/smtFiles/QF_LIA/slacks/45-8.slack.smt2,solver7,0.0345071
/p/graves/smtFiles/QF_IDL/mathsat/fischer/FISCHER8-7-ninc.smt2,solver0,0.710776
/p/graves/smtFiles/QF_IDL/mathsat/fischer/FISCHER8-7-ninc.smt2,solver1,0.11707
/p/graves/smtFiles/QF_IDL/mathsat/fischer/FISCHER8-7-ninc.smt2,solver2,0.129718
/p/graves/smtFiles/QF_IDL/mathsat/fischer/FISCHER8-7-ninc.smt2,solver3,0.451952
/p/graves/smtFiles/QF_IDL/mathsat/fischer/FISCHER8-7-ninc.smt2,solver4,0.371487
/p/graves/smtFiles/QF_IDL/mathsat/fischer/FISCHER8-7-ninc.smt2,solver5,4.11845
/p/graves/smtFiles/QF_IDL/mathsat/fischer/FISCHER8-7-ninc.smt2,solver6,0.158768
/p/graves/smtFiles/QF_IDL/mathsat/fischer/FISCHER8-7-ninc.smt2,solver7,0.281561
/p/graves/smtFiles/QF_LIA/CAV_2009_benchmarks/smt/30-vars/problem_2__021.smt2,solver0,2400
/p/graves/smtFiles/QF_LIA/CAV_2009_benchmarks/smt/30-vars/problem_2__021.smt2,solver1,0.0250101
/p/graves/smtFiles/QF_LIA/CAV_2009_benchmarks/smt/30-vars/problem_2__021.smt2,solver2,2400
/p/graves/smtFiles/QF_LIA/CAV_2009_benchmarks/smt/30-vars/problem_2__021.smt2,solver3,0.0526421
/p/graves/smtFiles/QF_LIA/CAV_2009_benchmarks/smt/30-vars/problem_2__021.smt2,solver4,0.116667
/p/graves/smtFiles/QF_LIA/CAV_2009_benchmarks/smt/30-vars/problem_2__021.smt2,solver5,14.3689
/p/graves/smtFiles/QF_LIA/CAV_2009_benchmarks/smt/30-vars/problem_2__021.smt2,solver6,2400
/p/graves/smtFiles/QF_LIA/CAV_2009_benchmarks/smt/30-vars/problem_2__021.smt2,solver7,0.0368511
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass/prp-35-48.smt2,solver0,91.1606
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass/prp-35-48.smt2,solver1,0.535163
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass/prp-35-48.smt2,solver2,2400
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass/prp-35-48.smt2,solver3,131.687
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass/prp-35-48.smt2,solver4,79.1489
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass/prp-35-48.smt2,solver5,39.7478
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass/prp-35-48.smt2,solver6,2400
/p/graves/smtFiles/QF_LIA/nec-smt/large/checkpass/prp-35-48.smt2,solver7,5.11721
/p/graves/smtFiles/QF_IDL/Averest/insertion_sort/InsertionSort_live_blmc004.smt2,solver0,0.333634
/p/graves/smtFiles/QF_IDL/Averest/insertion_sort/InsertionSort_live_blmc004.smt2,solver1,0.0380661
/p/graves/smtFiles/QF_IDL/Averest/insertion_sort/InsertionSort_live_blmc004.smt2,solver2,0.0846221
/p/graves/smtFiles/QF_IDL/Averest/insertion_sort/InsertionSort_live_blmc004.smt2,solver3,1.10403
/p/graves/smtFiles/QF_IDL/Averest/insertion_sort/InsertionSort_live_blmc004.smt2,solver4,0.31277
/p/graves/smtFiles/QF_IDL/Averest/insertion_sort/InsertionSort_live_blmc004.smt2,solver5,3.26921
/p/graves/smtFiles/QF_IDL/Averest/insertion_sort/InsertionSort_live_blmc004.smt2,solver6,0.17683
/p/graves/smtFiles/QF_IDL/Averest/insertion_sort/InsertionSort_live_blmc004.smt2,solver7,0.155429
/p/graves/smtFiles/QF_LIA/nec-smt/large/bftpd_login/prp-43-42.smt2,solver0,2.70132
/p/graves/smtFiles/QF_LIA/nec-smt/large/bftpd_login/prp-43-42.smt2,solver1,0.347463
/p/graves/smtFiles/QF_LIA/nec-smt/large/bftpd_login/prp-43-42.smt2,solver2,2400
/p/graves/smtFiles/QF_LIA/nec-smt/large/bftpd_login/prp-43-42.smt2,solver3,39.6903
/p/graves/smtFiles/QF_LIA/nec-smt/large/bftpd_login/prp-43-42.smt2,solver4,37.0066
/p/graves/smtFiles/QF_LIA/nec-smt/large/bftpd_login/prp-43-42.smt2,solver5,2400
/p/graves/smtFiles/QF_LIA/nec-smt/large/bftpd_login/prp-43-42.smt2,solver6,2400
/p/graves/smtFiles/QF_LIA/nec-smt/large/bftpd_login/prp-43-42.smt2,solver7,1.24567
/p/graves/smtFiles/QF_LIA/convert/convert-jpg2gif-query-1370.smt2,solver0,2400
