benchmark,solver,score
/p/graves/smtFiles/QF_LRA/spider_benchmarks/fs_frame_gap.base.smt2,solver0,0.043991
/p/graves/smtFiles/QF_LRA/spider_benchmarks/fs_frame_gap.base.smt2,solver1,0.012085
/p/graves/smtFiles/QF_LRA/spider_benchmarks/fs_frame_gap.base.smt2,solver2,0.139397
/p/graves/smtFiles/QF_LRA/spider_benchmarks/fs_frame_gap.base.smt2,solver3,0.0425381
/p/graves/smtFiles/QF_LRA/spider_benchmarks/fs_frame_gap.base.smt2,solver4,0.0777761
/p/graves/smtFiles/QF_LRA/spider_benchmarks/fs_frame_gap.base.smt2,solver5,0.934689
/p/graves/smtFiles/QF_LRA/spider_benchmarks/fs_frame_gap.base.smt2,solver6,0.030132
/p/graves/smtFiles/QF_LRA/spider_benchmarks/fs_frame_gap.base.smt2,solver7,0.044635
/p/graves/smtFiles/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_const1.i_3_6_2.bpl_11.smt2,solver0,2400
/p/graves/smtFiles/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_const1.i_3_6_2.bpl_11.smt2,solver1,2400
/p/graves/smtFiles/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_const1.i_3_6_2.bpl_11.smt2,solver2,2400
/p/graves/smtFiles/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_const1.i_3_6_2.bpl_11.smt2,solver3,2400
/p/graves/smtFiles/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_const1.i_3_6_2.bpl_11.smt2,solver4,2400
/p/graves/smtFiles/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_const1.i_3_6_2.bpl_11.smt2,solver5,2400
/p/graves/smtFiles/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_const1.i_3_6_2.bpl_11.smt2,solver6,2400
/p/graves/smtFiles/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_const1.i_3_6_2.bpl_11.smt2,solver7,2400
/p/graves/smtFiles/QF_LRA/uart/uart-24.base.cvc.smt2,solver0,5.70803
/p/graves/smtFiles/QF_LRA/uart/uart-24.base.cvc.smt2,solver1,6.18175
/p/graves/smtFiles/QF_LRA/uart/uart-24.base.cvc.smt2,solver2,18.3185
/p/graves/smtFiles/QF_LRA/uart/uart-24.base.cvc.smt2,solver3,8.07986
/p/graves/smtFiles/QF_LRA/uart/uart-24.base.cvc.smt2,solver4,2400
/p/graves/smtFiles/QF_LRA/uart/uart-24.base.cvc.smt2,solver5,276.214
/p/graves/smtFiles/QF_LRA/uart/uart-24.base.cvc.smt2,solver6,4.90585
/p/graves/smtFiles/QF_LRA/uart/uart-24.base.cvc.smt2,solver7,10.4113
/p/graves/smtFiles/QF_RDL/sal/fischer9-mutex-19.smt2,solver0,2400
/p/graves/smtFiles/QF_RDL/sal/fischer9-mutex-19.smt2,solver1,158.075
/p/graves/smtFiles/QF_RDL/sal/fischer9-mutex-19.smt2,solver2,254.032
/p/graves/smtFiles/QF_RDL/sal/fischer9-mutex-19.smt2,solver3,2400
/p/graves/smtFiles/QF_RDL/sal/fischer9-mutex-19.smt2,solver4,2400
/p/graves/smtFiles/QF_RDL/sal/fischer9-mutex-19.smt2,solver5,2400
/p/graves/smtFiles/QF_RDL/sal/fischer9-mutex-19.smt2,solver6,2400
/p/graves/smtFiles/QF_RDL/sal/fischer9-mutex-19.smt2,solver7,78.9575
/p/graves/smtFiles/QF_LRA/sal/pursuit/pursuit-safety-5.smt2,solver0,0.0313841
/p/graves/smtFiles/QF_LRA/sal/pursuit/pursuit-safety-5.smt2,solver1,0.0102551
/p/graves/smtFiles/QF_LRA/sal/pursuit/pursuit-safety-5.smt2,solver2,0.0964759
/p/graves/smtFiles/QF_LRA/sal/pursuit/pursuit-safety-5.smt2,solver3,0.0482091
/p/graves/smtFiles/QF_LRA/sal/pursuit/pursuit-safety-5.smt2,solver4,0.0831619
/p/graves/smtFiles/QF_LRA/sal/pursuit/pursuit-safety-5.smt2,solver5,0.761369
/p/graves/smtFiles/QF_LRA/sal/pursuit/pursuit-safety-5.smt2,solver6,0.021982
/p/graves/smtFiles/QF_LRA/sal/pursuit/pursuit-safety-5.smt2,solver7,0.0353581
/p/graves/smtFiles/QF_LRA/sal/pursuit/pursuit-safety-7.smt2,solver0,0.046574
/p/graves/smtFiles/QF_LRA/sal/pursuit/pursuit-safety-7.smt2,solver1,0.017117
/p/graves/smtFiles/QF_LRA/sal/pursuit/pursuit-safety-7.smt2,solver2,0.154066
/p/graves/smtFiles/QF_LRA/sal/pursuit/pursuit-safety-7.smt2,solver3,0.077227
/p/graves/smtFiles/QF_LRA/sal/pursuit/pursuit-safety-7.smt2,solver4,0.130284
/p/graves/smtFiles/QF_LRA/sal/pursuit/pursuit-safety-7.smt2,solver5,1.04439
/p/graves/smtFiles/QF_LRA/sal/pursuit/pursuit-safety-7.smt2,solver6,0.038463
/p/graves/smtFiles/QF_LRA/sal/pursuit/pursuit-safety-7.smt2,solver7,0.050132
/p/graves/smtFiles/QF_LRA/uart/uart-30.base.cvc.smt2,solver0,15.4039
/p/graves/smtFiles/QF_LRA/uart/uart-30.base.cvc.smt2,solver1,24.7433
/p/graves/smtFiles/QF_LRA/uart/uart-30.base.cvc.smt2,solver2,46.8546
/p/graves/smtFiles/QF_LRA/uart/uart-30.base.cvc.smt2,solver3,19.4731
/p/graves/smtFiles/QF_LRA/uart/uart-30.base.cvc.smt2,solver4,2400
/p/graves/smtFiles/QF_LRA/uart/uart-30.base.cvc.smt2,solver5,838.52
/p/graves/smtFiles/QF_LRA/uart/uart-30.base.cvc.smt2,solver6,9.41645
/p/graves/smtFiles/QF_LRA/uart/uart-30.base.cvc.smt2,solver7,30.5827
/p/graves/smtFiles/QF_LRA/uart/uart-32.base.cvc.smt2,solver0,17.935
/p/graves/smtFiles/QF_LRA/uart/uart-32.base.cvc.smt2,solver1,15.167
/p/graves/smtFiles/QF_LRA/uart/uart-32.base.cvc.smt2,solver2,57.9227
/p/graves/smtFiles/QF_LRA/uart/uart-32.base.cvc.smt2,solver3,21.4881
/p/graves/smtFiles/QF_LRA/uart/uart-32.base.cvc.smt2,solver4,2400
/p/graves/smtFiles/QF_LRA/uart/uart-32.base.cvc.smt2,solver5,696.768
/p/graves/smtFiles/QF_LRA/uart/uart-32.base.cvc.smt2,solver6,12.0034
/p/graves/smtFiles/QF_LRA/uart/uart-32.base.cvc.smt2,solver7,39.4426
/p/graves/smtFiles/QF_LRA/LassoRanker/CooperatingT2/ludcmp.c.i.ludcmp.pl.t2.fixed.t2.c_Iteration10_Loop_4-pieceTemplate.smt2,solver0,44.2546
/p/graves/smtFiles/QF_LRA/LassoRanker/CooperatingT2/ludcmp.c.i.ludcmp.pl.t2.fixed.t2.c_Iteration10_Loop_4-pieceTemplate.smt2,solver1,28.5175
/p/graves/smtFiles/QF_LRA/LassoRanker/CooperatingT2/ludcmp.c.i.ludcmp.pl.t2.fixed.t2.c_Iteration10_Loop_4-pieceTemplate.smt2,solver2,40.0565
/p/graves/smtFiles/QF_LRA/LassoRanker/CooperatingT2/ludcmp.c.i.ludcmp.pl.t2.fixed.t2.c_Iteration10_Loop_4-pieceTemplate.smt2,solver3,125.554
/p/graves/smtFiles/QF_LRA/LassoRanker/CooperatingT2/ludcmp.c.i.ludcmp.pl.t2.fixed.t2.c_Iteration10_Loop_4-pieceTemplate.smt2,solver4,2400
/p/graves/smtFiles/QF_LRA/LassoRanker/CooperatingT2/ludcmp.c.i.ludcmp.pl.t2.fixed.t2.c_Iteration10_Loop_4-pieceTemplate.smt2,solver5,355.644
/p/graves/smtFiles/QF_LRA/LassoRanker/CooperatingT2/ludcmp.c.i.ludcmp.pl.t2.fixed.t2.c_Iteration10_Loop_4-pieceTemplate.smt2,solver6,46.4816
/p/graves/smtFiles/QF_LRA/LassoRanker/CooperatingT2/ludcmp.c.i.ludcmp.pl.t2.fixed.t2.c_Iteration10_Loop_4-pieceTemplate.smt2,solver7,101.583
/p/graves/smtFiles/QF_LRA/tta_startup/simple_startup_11nodes.abstract.base.smt2,solver0,0.0864181
/p/graves/smtFiles/QF_LRA/tta_startup/simple_startup_11nodes.abstract.base.smt2,solver1,0.0144631
/p/graves/smtFiles/QF_LRA/tta_startup/simple_startup_11nodes.abstract.base.smt2,solver2,0.329741
/p/graves/smtFiles/QF_LRA/tta_startup/simple_startup_11nodes.abstract.base.smt2,solver3,0.056722
/p/graves/smtFiles/QF_LRA/tta_startup/simple_startup_11nodes.abstract.base.smt2,solver4,0.285229
/p/graves/smtFiles/QF_LRA/tta_startup/simple_startup_11nodes.abstract.base.smt2,solver5,1.99329
/p/graves/smtFiles/QF_LRA/tta_startup/simple_startup_11nodes.abstract.base.smt2,solver6,0.048977
/p/graves/smtFiles/QF_LRA/tta_startup/simple_startup_11nodes.abstract.base.smt2,solver7,0.0776059
/p/graves/smtFiles/QF_LRA/LassoRanker/Ultimate/2013POPL-BenAmGen-Ex3.20.bpl_Iteration1_Loop_4-pieceTemplate.smt2,solver0,11.0712
