benchmark,solver,score
QF_LRA/LassoRanker/Ultimate/yPositive-SIscaled100.bpl_Iteration1_Loop_3-pieceTemplate.smt2,solver0,79.9346
QF_LRA/LassoRanker/Ultimate/yPositive-SIscaled100.bpl_Iteration1_Loop_3-pieceTemplate.smt2,solver1,165.155
QF_LRA/LassoRanker/Ultimate/yPositive-SIscaled100.bpl_Iteration1_Loop_3-pieceTemplate.smt2,solver2,324.538
QF_LRA/LassoRanker/Ultimate/yPositive-SIscaled100.bpl_Iteration1_Loop_3-pieceTemplate.smt2,solver3,963.891
QF_LRA/LassoRanker/Ultimate/yPositive-SIscaled100.bpl_Iteration1_Loop_3-pieceTemplate.smt2,solver4,2400
QF_LRA/LassoRanker/Ultimate/yPositive-SIscaled100.bpl_Iteration1_Loop_3-pieceTemplate.smt2,solver5,2400
QF_LRA/LassoRanker/Ultimate/yPositive-SIscaled100.bpl_Iteration1_Loop_3-pieceTemplate.smt2,solver6,396.204
QF_LRA/LassoRanker/Ultimate/yPositive-SIscaled100.bpl_Iteration1_Loop_3-pieceTemplate.smt2,solver7,54.7096
QF_LRA/LassoRanker/SV-COMP/joey_false-termination.c_Iteration2_Loop_4-pieceTemplate.smt2,solver0,2.98365
QF_LRA/LassoRanker/SV-COMP/joey_false-termination.c_Iteration2_Loop_4-pieceTemplate.smt2,solver1,7.64897
QF_LRA/LassoRanker/SV-COMP/joey_false-termination.c_Iteration2_Loop_4-pieceTemplate.smt2,solver2,14.0391
QF_LRA/LassoRanker/SV-COMP/joey_false-termination.c_Iteration2_Loop_4-pieceTemplate.smt2,solver3,248.537
QF_LRA/LassoRanker/SV-COMP/joey_false-termination.c_Iteration2_Loop_4-pieceTemplate.smt2,solver4,2400
QF_LRA/LassoRanker/SV-COMP/joey_false-termination.c_Iteration2_Loop_4-pieceTemplate.smt2,solver5,383.122
QF_LRA/LassoRanker/SV-COMP/joey_false-termination.c_Iteration2_Loop_4-pieceTemplate.smt2,solver6,7.443
QF_LRA/LassoRanker/SV-COMP/joey_false-termination.c_Iteration2_Loop_4-pieceTemplate.smt2,solver7,15.1655
QF_LRA/LassoRanker/SV-COMP/TelAviv-Amir-Minimum_true-termination.c_Iteration1_Lasso_2-pieceTemplate.smt2,solver0,44.9504
QF_LRA/LassoRanker/SV-COMP/TelAviv-Amir-Minimum_true-termination.c_Iteration1_Lasso_2-pieceTemplate.smt2,solver1,15.1501
QF_LRA/LassoRanker/SV-COMP/TelAviv-Amir-Minimum_true-termination.c_Iteration1_Lasso_2-pieceTemplate.smt2,solver2,107.612
QF_LRA/LassoRanker/SV-COMP/TelAviv-Amir-Minimum_true-termination.c_Iteration1_Lasso_2-pieceTemplate.smt2,solver3,256.34
QF_LRA/LassoRanker/SV-COMP/TelAviv-Amir-Minimum_true-termination.c_Iteration1_Lasso_2-pieceTemplate.smt2,solver4,2400
QF_LRA/LassoRanker/SV-COMP/TelAviv-Amir-Minimum_true-termination.c_Iteration1_Lasso_2-pieceTemplate.smt2,solver5,1102.29
QF_LRA/LassoRanker/SV-COMP/TelAviv-Amir-Minimum_true-termination.c_Iteration1_Lasso_2-pieceTemplate.smt2,solver6,157.668
QF_LRA/LassoRanker/SV-COMP/TelAviv-Amir-Minimum_true-termination.c_Iteration1_Lasso_2-pieceTemplate.smt2,solver7,115.9
QF_LRA/uart/uart-19.induction.cvc.smt2,solver0,0.706202
QF_LRA/uart/uart-19.induction.cvc.smt2,solver1,0.121567
QF_LRA/uart/uart-19.induction.cvc.smt2,solver2,0.69873
QF_LRA/uart/uart-19.induction.cvc.smt2,solver3,0.129685
QF_LRA/uart/uart-19.induction.cvc.smt2,solver4,5.30325
QF_LRA/uart/uart-19.induction.cvc.smt2,solver5,2.13004
QF_LRA/uart/uart-19.induction.cvc.smt2,solver6,0.471729
QF_LRA/uart/uart-19.induction.cvc.smt2,solver7,0.240297
QF_LRA/latendresse/ecoliMILPglycerolYices3-80000.smt2,solver0,2400
QF_LRA/latendresse/ecoliMILPglycerolYices3-80000.smt2,solver1,2400
QF_LRA/latendresse/ecoliMILPglycerolYices3-80000.smt2,solver2,28.1414
QF_LRA/latendresse/ecoliMILPglycerolYices3-80000.smt2,solver3,2400
QF_LRA/latendresse/ecoliMILPglycerolYices3-80000.smt2,solver4,2400
QF_LRA/latendresse/ecoliMILPglycerolYices3-80000.smt2,solver5,372.019
QF_LRA/latendresse/ecoliMILPglycerolYices3-80000.smt2,solver6,2400
QF_LRA/latendresse/ecoliMILPglycerolYices3-80000.smt2,solver7,2400
QF_LRA/sc/sc-26.base.cvc.smt2,solver0,2.81877
QF_LRA/sc/sc-26.base.cvc.smt2,solver1,14.0243
QF_LRA/sc/sc-26.base.cvc.smt2,solver2,17.2918
QF_LRA/sc/sc-26.base.cvc.smt2,solver3,10.7062
