benchmark,solver,score
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31520_terminationG_0.smt2,solver0,2400
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31520_terminationG_0.smt2,solver1,349.786
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31520_terminationG_0.smt2,solver2,2400
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31520_terminationG_0.smt2,solver3,2400
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31520_terminationG_0.smt2,solver4,2400
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31520_terminationG_0.smt2,solver5,594.349
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_T2__java_DivMinus2.c.t2__p2415_terminationG_0.smt2,solver0,17.9366
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_T2__java_DivMinus2.c.t2__p2415_terminationG_0.smt2,solver1,2400
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_T2__java_DivMinus2.c.t2__p2415_terminationG_0.smt2,solver2,2400
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_T2__java_DivMinus2.c.t2__p2415_terminationG_0.smt2,solver3,392.616
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_T2__java_DivMinus2.c.t2__p2415_terminationG_0.smt2,solver4,2400
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_T2__java_DivMinus2.c.t2__p2415_terminationG_0.smt2,solver5,150.168
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-4-filtered.t2__p22505_safety_0.smt2,solver0,10.4784
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-4-filtered.t2__p22505_safety_0.smt2,solver1,2.66162
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-4-filtered.t2__p22505_safety_0.smt2,solver2,2.68851
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-4-filtered.t2__p22505_safety_0.smt2,solver3,122.45
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-4-filtered.t2__p22505_safety_0.smt2,solver4,2400
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-4-filtered.t2__p22505_safety_0.smt2,solver5,158.891
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__mirrorInterv_rec.jar-obl-8__p10931_terminationG_0.smt2,solver0,2400
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__mirrorInterv_rec.jar-obl-8__p10931_terminationG_0.smt2,solver1,0.342916
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__mirrorInterv_rec.jar-obl-8__p10931_terminationG_0.smt2,solver2,2400
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__mirrorInterv_rec.jar-obl-8__p10931_terminationG_0.smt2,solver3,2400
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__mirrorInterv_rec.jar-obl-8__p10931_terminationG_0.smt2,solver4,2400
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__mirrorInterv_rec.jar-obl-8__p10931_terminationG_0.smt2,solver5,57.6039
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8421_safety_0.smt2,solver0,2400
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8421_safety_0.smt2,solver1,2400
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8421_safety_0.smt2,solver2,77.2189
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8421_safety_0.smt2,solver3,448.854
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8421_safety_0.smt2,solver4,2400
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8421_safety_0.smt2,solver5,1027.96
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5934_safety_0.smt2,solver0,2400
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5934_safety_0.smt2,solver1,46.4638
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5934_safety_0.smt2,solver2,16.373
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5934_safety_0.smt2,solver3,0.95578
/p/graves/smtFiles/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5934_safety_0.smt2,solver4,2400
