benchmark,solver,score
QF_NIA/20170427-VeryMax/ITS/From_T2__n-7.t2__p5074_terminationG_0.smt2,solver0,2400
QF_NIA/20170427-VeryMax/ITS/From_T2__n-7.t2__p5074_terminationG_0.smt2,solver1,0.305003
QF_NIA/20170427-VeryMax/ITS/From_T2__n-7.t2__p5074_terminationG_0.smt2,solver2,0.402608
QF_NIA/20170427-VeryMax/ITS/From_T2__n-7.t2__p5074_terminationG_0.smt2,solver3,0.823141
QF_NIA/20170427-VeryMax/ITS/From_T2__n-7.t2__p5074_terminationG_0.smt2,solver4,2400
QF_NIA/20170427-VeryMax/ITS/From_T2__n-7.t2__p5074_terminationG_0.smt2,solver5,2400
QF_NIA/20170427-VeryMax/ITS/From_T2__pentagon.t2__p7013_edge_closing_0.smt2,solver0,2400
QF_NIA/20170427-VeryMax/ITS/From_T2__pentagon.t2__p7013_edge_closing_0.smt2,solver1,0.772519
QF_NIA/20170427-VeryMax/ITS/From_T2__pentagon.t2__p7013_edge_closing_0.smt2,solver2,1.65184
QF_NIA/20170427-VeryMax/ITS/From_T2__pentagon.t2__p7013_edge_closing_0.smt2,solver3,0.955135
QF_NIA/20170427-VeryMax/ITS/From_T2__pentagon.t2__p7013_edge_closing_0.smt2,solver4,2400
QF_NIA/20170427-VeryMax/ITS/From_T2__pentagon.t2__p7013_edge_closing_0.smt2,solver5,9.63502
QF_NIA/20170427-VeryMax/ITS/From_T2__edn.t2__p19923_safety_0.smt2,solver0,7.26862
QF_NIA/20170427-VeryMax/ITS/From_T2__edn.t2__p19923_safety_0.smt2,solver1,0.0210409
QF_NIA/20170427-VeryMax/ITS/From_T2__edn.t2__p19923_safety_0.smt2,solver2,0.576249
QF_NIA/20170427-VeryMax/ITS/From_T2__edn.t2__p19923_safety_0.smt2,solver3,108.662
QF_NIA/20170427-VeryMax/ITS/From_T2__edn.t2__p19923_safety_0.smt2,solver4,1.67993
QF_NIA/20170427-VeryMax/ITS/From_T2__edn.t2__p19923_safety_0.smt2,solver5,0.392592
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p5324_safety_0.smt2,solver0,35.2886
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p5324_safety_0.smt2,solver1,1.00578
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p5324_safety_0.smt2,solver2,3.46018
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p5324_safety_0.smt2,solver3,1.15928
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p5324_safety_0.smt2,solver4,2400
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p5324_safety_0.smt2,solver5,1.9996
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6740_safety_0.smt2,solver0,15.9829
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6740_safety_0.smt2,solver1,0.556976
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6740_safety_0.smt2,solver2,3.25225
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6740_safety_0.smt2,solver3,20.9973
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6740_safety_0.smt2,solver4,94.1996
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6740_safety_0.smt2,solver5,69.6317
QF_NIA/20170427-VeryMax/ITS/From_T2__brp_withassume.t2__p17433_edge_closing_0.smt2,solver0,2400
QF_NIA/20170427-VeryMax/ITS/From_T2__brp_withassume.t2__p17433_edge_closing_0.smt2,solver1,2400
QF_NIA/20170427-VeryMax/ITS/From_T2__brp_withassume.t2__p17433_edge_closing_0.smt2,solver2,2400
QF_NIA/20170427-VeryMax/ITS/From_T2__brp_withassume.t2__p17433_edge_closing_0.smt2,solver3,2400
QF_NIA/20170427-VeryMax/ITS/From_T2__brp_withassume.t2__p17433_edge_closing_0.smt2,solver4,2400
QF_NIA/20170427-VeryMax/ITS/From_T2__brp_withassume.t2__p17433_edge_closing_0.smt2,solver5,2400
QF_NIA/AProVE/aproveSMT338922425342401784.smt2,solver0,2400
QF_NIA/AProVE/aproveSMT338922425342401784.smt2,solver1,0.0170639
QF_NIA/AProVE/aproveSMT338922425342401784.smt2,solver2,0.311525
QF_NIA/AProVE/aproveSMT338922425342401784.smt2,solver3,2400
QF_NIA/AProVE/aproveSMT338922425342401784.smt2,solver4,8.61121
QF_NIA/AProVE/aproveSMT338922425342401784.smt2,solver5,63.0098
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31453_safety_0.smt2,solver0,2400
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31453_safety_0.smt2,solver1,0.478635
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31453_safety_0.smt2,solver2,16.4391
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31453_safety_0.smt2,solver3,9.81383
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31453_safety_0.smt2,solver4,2400
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31453_safety_0.smt2,solver5,0.592137
QF_NIA/20170427-VeryMax/SAT14/510.smt2,solver0,2400
QF_NIA/20170427-VeryMax/SAT14/510.smt2,solver1,1.37483
QF_NIA/20170427-VeryMax/SAT14/510.smt2,solver2,0.158591
QF_NIA/20170427-VeryMax/SAT14/510.smt2,solver3,0.15603
QF_NIA/20170427-VeryMax/SAT14/510.smt2,solver4,2400
QF_NIA/20170427-VeryMax/SAT14/510.smt2,solver5,0.046958
QF_NIA/20170427-VeryMax/SAT14/1822.smt2,solver0,2400
QF_NIA/20170427-VeryMax/SAT14/1822.smt2,solver1,0.736044
QF_NIA/20170427-VeryMax/SAT14/1822.smt2,solver2,0.182384
QF_NIA/20170427-VeryMax/SAT14/1822.smt2,solver3,0.192612
QF_NIA/20170427-VeryMax/SAT14/1822.smt2,solver4,2400
QF_NIA/20170427-VeryMax/SAT14/1822.smt2,solver5,0.20982
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8579_safety_0.smt2,solver0,2400
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8579_safety_0.smt2,solver1,2.52671
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8579_safety_0.smt2,solver2,7.11247
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8579_safety_0.smt2,solver3,12.3612
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8579_safety_0.smt2,solver4,2400
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8579_safety_0.smt2,solver5,17.2855
QF_NIA/20170427-VeryMax/ITS/From_T2__apchildlive-succeed.t2__p16435_terminationG_0.smt2,solver0,4.04365
QF_NIA/20170427-VeryMax/ITS/From_T2__apchildlive-succeed.t2__p16435_terminationG_0.smt2,solver1,3.37243
QF_NIA/20170427-VeryMax/ITS/From_T2__apchildlive-succeed.t2__p16435_terminationG_0.smt2,solver2,4.3446
QF_NIA/20170427-VeryMax/ITS/From_T2__apchildlive-succeed.t2__p16435_terminationG_0.smt2,solver3,206.573
QF_NIA/20170427-VeryMax/ITS/From_T2__apchildlive-succeed.t2__p16435_terminationG_0.smt2,solver4,147.902
QF_NIA/20170427-VeryMax/ITS/From_T2__apchildlive-succeed.t2__p16435_terminationG_0.smt2,solver5,1.53691
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test6.jar-obl-13__terminationS_13_0.smt2,solver0,2400
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test6.jar-obl-13__terminationS_13_0.smt2,solver1,9.85088
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test6.jar-obl-13__terminationS_13_0.smt2,solver2,156.798
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test6.jar-obl-13__terminationS_13_0.smt2,solver3,38.7541
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test6.jar-obl-13__terminationS_13_0.smt2,solver4,2400
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test6.jar-obl-13__terminationS_13_0.smt2,solver5,76.7919
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__term_unfeasibility_2_0.smt2,solver0,2400
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__term_unfeasibility_2_0.smt2,solver1,1.4983
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__term_unfeasibility_2_0.smt2,solver2,0.530218
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__term_unfeasibility_2_0.smt2,solver3,0.726581
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__term_unfeasibility_2_0.smt2,solver4,2400
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__term_unfeasibility_2_0.smt2,solver5,1.08646
QF_NIA/20170427-VeryMax/SAT14/825.smt2,solver0,2400
QF_NIA/20170427-VeryMax/SAT14/825.smt2,solver1,9.45823
QF_NIA/20170427-VeryMax/SAT14/825.smt2,solver2,34.4103
QF_NIA/20170427-VeryMax/SAT14/825.smt2,solver3,0.314331
QF_NIA/20170427-VeryMax/SAT14/825.smt2,solver4,2400
QF_NIA/20170427-VeryMax/SAT14/825.smt2,solver5,0.210902
QF_NIA/20170427-VeryMax/SAT14/206.smt2,solver0,2400
QF_NIA/20170427-VeryMax/SAT14/206.smt2,solver1,0.0721669
QF_NIA/20170427-VeryMax/SAT14/206.smt2,solver2,0.126027
QF_NIA/20170427-VeryMax/SAT14/206.smt2,solver3,0.062154
QF_NIA/20170427-VeryMax/SAT14/206.smt2,solver4,2400
QF_NIA/20170427-VeryMax/SAT14/206.smt2,solver5,0.028566
QF_NIA/20170427-VeryMax/SAT14/244.smt2,solver0,2400
QF_NIA/20170427-VeryMax/SAT14/244.smt2,solver1,0.67197
QF_NIA/20170427-VeryMax/SAT14/244.smt2,solver2,0.099964
QF_NIA/20170427-VeryMax/SAT14/244.smt2,solver3,0.455285
QF_NIA/20170427-VeryMax/SAT14/244.smt2,solver4,2400
QF_NIA/20170427-VeryMax/SAT14/244.smt2,solver5,0.0719099
QF_NIA/20170427-VeryMax/ITS/From_T2__polling.t2__p7346_terminationG_0.smt2,solver0,2.18241
QF_NIA/20170427-VeryMax/ITS/From_T2__polling.t2__p7346_terminationG_0.smt2,solver1,3.35314
QF_NIA/20170427-VeryMax/ITS/From_T2__polling.t2__p7346_terminationG_0.smt2,solver2,31.0988
QF_NIA/20170427-VeryMax/ITS/From_T2__polling.t2__p7346_terminationG_0.smt2,solver3,66.7025
QF_NIA/20170427-VeryMax/ITS/From_T2__polling.t2__p7346_terminationG_0.smt2,solver4,38.0015
QF_NIA/20170427-VeryMax/ITS/From_T2__polling.t2__p7346_terminationG_0.smt2,solver5,163.709
QF_NIA/AProVE/aproveSMT5590819726630157802.smt2,solver0,2400
QF_NIA/AProVE/aproveSMT5590819726630157802.smt2,solver1,0.013607
QF_NIA/AProVE/aproveSMT5590819726630157802.smt2,solver2,0.0245179
QF_NIA/AProVE/aproveSMT5590819726630157802.smt2,solver3,0.026273
QF_NIA/AProVE/aproveSMT5590819726630157802.smt2,solver4,0.0143181
QF_NIA/AProVE/aproveSMT5590819726630157802.smt2,solver5,0.0290921
QF_NIA/20170427-VeryMax/ITS/From_T2__broydn.c.i.broydn.pl.t2.fixed.t2__term_unfeasibility_9_0.smt2,solver0,2400
QF_NIA/20170427-VeryMax/ITS/From_T2__broydn.c.i.broydn.pl.t2.fixed.t2__term_unfeasibility_9_0.smt2,solver1,2.01558
QF_NIA/20170427-VeryMax/ITS/From_T2__broydn.c.i.broydn.pl.t2.fixed.t2__term_unfeasibility_9_0.smt2,solver2,5.93048
QF_NIA/20170427-VeryMax/ITS/From_T2__broydn.c.i.broydn.pl.t2.fixed.t2__term_unfeasibility_9_0.smt2,solver3,4.10178
QF_NIA/20170427-VeryMax/ITS/From_T2__broydn.c.i.broydn.pl.t2.fixed.t2__term_unfeasibility_9_0.smt2,solver4,13.1743
QF_NIA/20170427-VeryMax/ITS/From_T2__broydn.c.i.broydn.pl.t2.fixed.t2__term_unfeasibility_9_0.smt2,solver5,3.6846
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test4.jar-obl-10__terminationS_4_0.smt2,solver0,2400
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test4.jar-obl-10__terminationS_4_0.smt2,solver1,62.1992
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test4.jar-obl-10__terminationS_4_0.smt2,solver2,2400
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test4.jar-obl-10__terminationS_4_0.smt2,solver3,2400
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test4.jar-obl-10__terminationS_4_0.smt2,solver4,2400
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test4.jar-obl-10__terminationS_4_0.smt2,solver5,135.645
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p30883_safety_0.smt2,solver0,15.7423
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p30883_safety_0.smt2,solver1,4.94781
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p30883_safety_0.smt2,solver2,4.64959
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p30883_safety_0.smt2,solver3,10.7473
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p30883_safety_0.smt2,solver4,2400
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p30883_safety_0.smt2,solver5,91.8632
QF_NIA/20170427-VeryMax/SAT14/880.smt2,solver0,2400
QF_NIA/20170427-VeryMax/SAT14/880.smt2,solver1,19.6004
QF_NIA/20170427-VeryMax/SAT14/880.smt2,solver2,23.754
QF_NIA/20170427-VeryMax/SAT14/880.smt2,solver3,0.40759
QF_NIA/20170427-VeryMax/SAT14/880.smt2,solver4,2400
QF_NIA/20170427-VeryMax/SAT14/880.smt2,solver5,0.103266
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p19411_safety_0.smt2,solver0,1.65592
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p19411_safety_0.smt2,solver1,0.945161
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p19411_safety_0.smt2,solver2,2.77045
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p19411_safety_0.smt2,solver3,1.07797
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p19411_safety_0.smt2,solver4,10.6181
