benchmark,solver,score
/p/graves/smtFiles/QF_NRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0160.smt2,solver0,0.0179799
/p/graves/smtFiles/QF_NRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0160.smt2,solver1,0.029736
/p/graves/smtFiles/QF_NRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0160.smt2,solver2,0.040528
/p/graves/smtFiles/QF_NRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0160.smt2,solver3,0.018239
/p/graves/smtFiles/QF_NRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0160.smt2,solver4,0.0250101
/p/graves/smtFiles/QF_NRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0160.smt2,solver5,0.019624
/p/graves/smtFiles/QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0206.smt2,solver0,0.031319
/p/graves/smtFiles/QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0206.smt2,solver1,0.059631
/p/graves/smtFiles/QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0206.smt2,solver2,9.2597
/p/graves/smtFiles/QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0206.smt2,solver3,0.0170861
/p/graves/smtFiles/QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0206.smt2,solver4,0.017846
/p/graves/smtFiles/QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0206.smt2,solver5,0.125835
/p/graves/smtFiles/QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0257.smt2,solver0,0.019109
/p/graves/smtFiles/QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0257.smt2,solver1,0.0256921
/p/graves/smtFiles/QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0257.smt2,solver2,2400
/p/graves/smtFiles/QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0257.smt2,solver3,0.01436
/p/graves/smtFiles/QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0257.smt2,solver4,0.234516
/p/graves/smtFiles/QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0257.smt2,solver5,0.0186639
/p/graves/smtFiles/QF_NRA/hycomp/ball_count_2d_hill_simple.10.seq_lazy_lemmas_global_12.smt2,solver0,0.0293419
/p/graves/smtFiles/QF_NRA/hycomp/ball_count_2d_hill_simple.10.seq_lazy_lemmas_global_12.smt2,solver1,0.126494
/p/graves/smtFiles/QF_NRA/hycomp/ball_count_2d_hill_simple.10.seq_lazy_lemmas_global_12.smt2,solver2,0.044611
/p/graves/smtFiles/QF_NRA/hycomp/ball_count_2d_hill_simple.10.seq_lazy_lemmas_global_12.smt2,solver3,3.86538
/p/graves/smtFiles/QF_NRA/hycomp/ball_count_2d_hill_simple.10.seq_lazy_lemmas_global_12.smt2,solver4,0.0323601
/p/graves/smtFiles/QF_NRA/hycomp/ball_count_2d_hill_simple.10.seq_lazy_lemmas_global_12.smt2,solver5,15.0794
/p/graves/smtFiles/QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0308.smt2,solver0,0.0129999
/p/graves/smtFiles/QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0308.smt2,solver1,0.0197191
/p/graves/smtFiles/QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0308.smt2,solver2,0.0416669
