benchmark,solver,score
QF_NRA/hycomp/ball_count_2d_slope.10.seq_lazy_linear_enc_lemmas_global_4.smt2,solver0,0.0192291
QF_NRA/hycomp/ball_count_2d_slope.10.seq_lazy_linear_enc_lemmas_global_4.smt2,solver1,0.0899209
QF_NRA/hycomp/ball_count_2d_slope.10.seq_lazy_linear_enc_lemmas_global_4.smt2,solver2,0.0359939
QF_NRA/hycomp/ball_count_2d_slope.10.seq_lazy_linear_enc_lemmas_global_4.smt2,solver3,0.756652
QF_NRA/hycomp/ball_count_2d_slope.10.seq_lazy_linear_enc_lemmas_global_4.smt2,solver4,0.0187159
QF_NRA/hycomp/ball_count_2d_slope.10.seq_lazy_linear_enc_lemmas_global_4.smt2,solver5,0.0249569
QF_NRA/hycomp/ball_count_2d_hill_simple.02.redlog_global_11.smt2,solver0,0.019867
QF_NRA/hycomp/ball_count_2d_hill_simple.02.redlog_global_11.smt2,solver1,0.102688
QF_NRA/hycomp/ball_count_2d_hill_simple.02.redlog_global_11.smt2,solver2,0.028762
QF_NRA/hycomp/ball_count_2d_hill_simple.02.redlog_global_11.smt2,solver3,1.48399
QF_NRA/hycomp/ball_count_2d_hill_simple.02.redlog_global_11.smt2,solver4,0.0275559
QF_NRA/hycomp/ball_count_2d_hill_simple.02.redlog_global_11.smt2,solver5,0.0417029
QF_NRA/hycomp/ball_count_2d_hill.05.seq_lazy_linear_enc_global_11.smt2,solver0,0.0454391
QF_NRA/hycomp/ball_count_2d_hill.05.seq_lazy_linear_enc_global_11.smt2,solver1,0.142302
QF_NRA/hycomp/ball_count_2d_hill.05.seq_lazy_linear_enc_global_11.smt2,solver2,0.043559
QF_NRA/hycomp/ball_count_2d_hill.05.seq_lazy_linear_enc_global_11.smt2,solver3,15.7594
QF_NRA/hycomp/ball_count_2d_hill.05.seq_lazy_linear_enc_global_11.smt2,solver4,0.0318461
QF_NRA/hycomp/ball_count_2d_hill.05.seq_lazy_linear_enc_global_11.smt2,solver5,0.104121
QF_NRA/hycomp/ball_count_2d_slope.10.seq_lazy_lemmas_global_6.smt2,solver0,0.029617
