benchmark,solver,score
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_cvc4/lib_int-ipaddress__ip_int_from_string/59.smt2,solver0,2400
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_cvc4/lib_int-ipaddress__ip_int_from_string/59.smt2,solver1,4.53525
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_cvc4/lib_int-ipaddress__ip_int_from_string/59.smt2,solver2,1.94801
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_z3seq/lib_int-ipaddress__ip_int_from_string/555.smt2,solver0,2400
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_z3seq/lib_int-ipaddress__ip_int_from_string/555.smt2,solver1,3.95984
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_z3seq/lib_int-ipaddress__ip_int_from_string/555.smt2,solver2,4.34894
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_z3seq/lib_int-ipaddress__ip_int_from_string/530.smt2,solver0,2400
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_z3seq/lib_int-ipaddress__ip_int_from_string/530.smt2,solver1,3.91748
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_z3seq/lib_int-ipaddress__ip_int_from_string/530.smt2,solver2,2.24281
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_z3seq/lib_int-ipaddress__ip_int_from_string/426.smt2,solver0,2400
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_z3seq/lib_int-ipaddress__ip_int_from_string/426.smt2,solver1,3.89506
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_z3seq/lib_int-ipaddress__ip_int_from_string/426.smt2,solver2,2.25356
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_z3seq/lib_int-ipaddress__ip_int_from_string/586.smt2,solver0,2400
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_z3seq/lib_int-ipaddress__ip_int_from_string/586.smt2,solver1,3.84119
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_z3seq/lib_int-ipaddress__ip_int_from_string/586.smt2,solver2,2.24603
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_cvc4/lib_int-ipaddress__ip_int_from_string/99.smt2,solver0,2400
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_cvc4/lib_int-ipaddress__ip_int_from_string/99.smt2,solver1,4.04606
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_cvc4/lib_int-ipaddress__ip_int_from_string/99.smt2,solver2,3.85101
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_z3seq/lib_int-ipaddress__ip_int_from_string/619.smt2,solver0,2400
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_z3seq/lib_int-ipaddress__ip_int_from_string/619.smt2,solver1,4.00952
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_z3seq/lib_int-ipaddress__ip_int_from_string/619.smt2,solver2,1.94092
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_trauc/lib_int-ipaddress__ip_int_from_string/55.smt2,solver0,2400
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_trauc/lib_int-ipaddress__ip_int_from_string/55.smt2,solver1,5.4726
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_trauc/lib_int-ipaddress__ip_int_from_string/55.smt2,solver2,2.69133
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_z3seq/lib_int-ipaddress__ip_int_from_string/534.smt2,solver0,2400
/p/graves/smtFiles/QF_SLIA/2019-full_str_int/py-conbyte_z3seq/lib_int-ipaddress__ip_int_from_string/534.smt2,solver1,3.90763
