   BENCHMARK INFORMATION
benchmark definition:    /u/wel2vw/cpa-bmc-kInd.xml
name:                    cpa-bmc-kInd
run sets:                sv-comp18
date:                    Wed, 2021-09-22 15:58:45 EDT
tool:                    CPAchecker 1.9
tool executable:         ./cpa.sh
options:                 -bmc-induction -heap 10000M -benchmark -timelimit 900s
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             8
hardware requirements:
- cpu cores:             8
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    doppio02
os:                      Linux-3.10.0-1127.el7.x86_64-x86_64-with-glibc2.17
cpu:                     Intel Xeon Gold 6130 CPU @ 2.10GHz
- cores:                 64
- max frequency:         3700.0 MHz
- turbo boost enabled:   True
ram:                     134655.91808 MB
------------------------------------------------------------



sv-comp18
Run set 1 of 1 with options '-bmc-induction -heap 10000M -benchmark -timelimit 900s' and propertyfile 'None'

inputfile                                                                                                                                                                                                        status                    cpu time   wall time        host
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
array-examples/data_structures_set_multi_proc_false-unreach-call_ground.i                                                                                                                                        TIMEOUT                     902.03      387.46        None
array-examples/sorting_bubblesort_false-unreach-call2_ground.i                                                                                                                                                   TIMEOUT                     901.28      425.71        None
array-examples/sorting_bubblesort_false-unreach-call_ground.i                                                                                                                                                    TIMEOUT                     901.09      426.49        None
array-examples/sorting_selectionsort_false-unreach-call2_ground.i                                                                                                                                                TIMEOUT                     901.29      395.45        None
array-examples/sorting_selectionsort_false-unreach-call_ground.i                                                                                                                                                 TIMEOUT                     902.45      399.58        None
array-examples/standard_allDiff2_false-unreach-call_ground.i                                                                                                                                                     TIMEOUT                     901.02      402.17        None
array-examples/standard_copy1_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.02      425.27        None
array-examples/standard_copy2_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.70      431.29        None
array-examples/standard_copy3_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.56      430.38        None
array-examples/standard_copy4_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     902.46      430.64        None
array-examples/standard_copy5_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     902.35      430.98        None
array-examples/standard_copy6_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.65      429.67        None
array-examples/standard_copy7_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.84      428.52        None
array-examples/standard_copy8_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     902.45      430.01        None
array-examples/standard_copy9_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.51      428.94        None
array-examples/standard_copyInitSum2_false-unreach-call_ground.i                                                                                                                                                 TIMEOUT                     902.31      432.54        None
array-examples/standard_init1_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.36      423.31        None
array-examples/standard_init2_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.24      424.38        None
array-examples/standard_init3_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.94      419.95        None
array-examples/standard_init4_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     902.08      418.63        None
array-examples/standard_init5_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.15      419.25        None
array-examples/standard_init6_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     902.33      416.28        None
array-examples/standard_init7_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.25      414.83        None
array-examples/standard_init8_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.39      413.46        None
array-examples/standard_init9_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     903.76      414.16        None
array-examples/standard_minInArray_false-unreach-call_ground.i                                                                                                                                                   TIMEOUT                     900.53      429.69        None
array-examples/standard_partition_false-unreach-call_ground.i                                                                                                                                                    TIMEOUT                     901.99      419.94        None
array-examples/standard_running_false-unreach-call.i                                                                                                                                                             TIMEOUT                     900.87      430.13        None
array-examples/data_structures_set_multi_proc_trivial_true-unreach-call_ground_true-termination.i                                                                                                                true                          5.56        2.27        None
array-examples/data_structures_set_multi_proc_true-unreach-call_ground.i                                                                                                                                         TIMEOUT                     901.72      386.91        None
array-examples/relax_true-unreach-call.i                                                                                                                                                                         TIMEOUT                     902.69      416.34        None
array-examples/sanfoundry_02_true-unreach-call_ground.i                                                                                                                                                          TIMEOUT                     900.84      424.78        None
array-examples/sanfoundry_10_true-unreach-call_ground.i                                                                                                                                                          TIMEOUT                     903.28      410.29        None
array-examples/sanfoundry_24_true-unreach-call_true-termination.i                                                                                                                                                true                         12.66        3.19        None
array-examples/sanfoundry_27_true-unreach-call_ground.i                                                                                                                                                          TIMEOUT                     901.38      430.01        None
array-examples/sanfoundry_43_true-unreach-call_ground.i                                                                                                                                                          true                          3.69        1.38        None
array-examples/sorting_bubblesort_true-unreach-call_ground.i                                                                                                                                                     TIMEOUT                     900.99      427.64        None
array-examples/sorting_selectionsort_true-unreach-call_ground.i                                                                                                                                                  TIMEOUT                     902.00      393.24        None
array-examples/standard_compareModified_true-unreach-call_ground.i                                                                                                                                               TIMEOUT                     900.99      427.60        None
array-examples/standard_compare_true-unreach-call_ground.i                                                                                                                                                       TIMEOUT                     901.32      417.76        None
array-examples/standard_copy1_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     902.76      433.62        None
array-examples/standard_copy2_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     902.56      433.04        None
array-examples/standard_copy3_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     901.85      430.60        None
array-examples/standard_copy4_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     902.42      430.91        None
array-examples/standard_copy5_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     900.93      429.73        None
array-examples/standard_copy6_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     900.72      428.81        None
array-examples/standard_copy7_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     900.61      429.52        None
array-examples/standard_copy8_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     900.94      429.38        None
array-examples/standard_copy9_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     902.41      430.87        None
array-examples/standard_copyInitSum2_true-unreach-call_ground.i                                                                                                                                                  TIMEOUT                     900.64      430.62        None
array-examples/standard_copyInitSum3_true-unreach-call_ground.i                                                                                                                                                  TIMEOUT                     900.46      431.09        None
