   BENCHMARK INFORMATION
benchmark definition:    /u/wel2vw/cpa-bmc.xml
name:                    cpa-bmc
run sets:                sv-comp18
date:                    Wed, 2021-09-22 15:55:00 EDT
tool:                    CPAchecker 1.9
tool executable:         ./cpa.sh
options:                 -bmc -heap 10000M -benchmark -timelimit 900s
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             8
hardware requirements:
- cpu cores:             8
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    doppio01
os:                      Linux-3.10.0-1127.el7.x86_64-x86_64-with-glibc2.17
cpu:                     Intel Xeon Gold 6130 CPU @ 2.10GHz
- cores:                 64
- max frequency:         3700.0 MHz
- turbo boost enabled:   True
ram:                     134655.91398399998 MB
------------------------------------------------------------



sv-comp18
Run set 1 of 1 with options '-bmc -heap 10000M -benchmark -timelimit 900s' and propertyfile 'None'

inputfile                                                                                                                                                                                                        status                    cpu time   wall time        host
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
array-examples/data_structures_set_multi_proc_false-unreach-call_ground.i                                                                                                                                        unknown                       6.26        2.94        None
array-examples/sorting_bubblesort_false-unreach-call2_ground.i                                                                                                                                                   unknown                       5.41        2.18        None
array-examples/sorting_bubblesort_false-unreach-call_ground.i                                                                                                                                                    unknown                       5.32        2.17        None
array-examples/sorting_selectionsort_false-unreach-call2_ground.i                                                                                                                                                unknown                       5.27        2.17        None
array-examples/sorting_selectionsort_false-unreach-call_ground.i                                                                                                                                                 unknown                       5.26        2.13        None
array-examples/standard_allDiff2_false-unreach-call_ground.i                                                                                                                                                     unknown                       5.35        2.24        None
array-examples/standard_copy1_false-unreach-call_ground.i                                                                                                                                                        unknown                       6.21        2.85        None
array-examples/standard_copy2_false-unreach-call_ground.i                                                                                                                                                        unknown                       7.43        3.59        None
array-examples/standard_copy3_false-unreach-call_ground.i                                                                                                                                                        unknown                       8.18        4.12        None
array-examples/standard_copy4_false-unreach-call_ground.i                                                                                                                                                        unknown                       8.69        4.79        None
array-examples/standard_copy5_false-unreach-call_ground.i                                                                                                                                                        unknown                       9.60        5.55        None
array-examples/standard_copy6_false-unreach-call_ground.i                                                                                                                                                        unknown                      10.19        6.04        None
array-examples/standard_copy7_false-unreach-call_ground.i                                                                                                                                                        unknown                      11.20        7.01        None
array-examples/standard_copy8_false-unreach-call_ground.i                                                                                                                                                        unknown                      11.99        7.65        None
array-examples/standard_copy9_false-unreach-call_ground.i                                                                                                                                                        unknown                      13.04        8.34        None
array-examples/standard_copyInitSum2_false-unreach-call_ground.i                                                                                                                                                 unknown                       6.27        2.88        None
array-examples/standard_init1_false-unreach-call_ground.i                                                                                                                                                        unknown                       5.19        2.13        None
array-examples/standard_init2_false-unreach-call_ground.i                                                                                                                                                        unknown                       5.08        2.20        None
array-examples/standard_init3_false-unreach-call_ground.i                                                                                                                                                        unknown                       5.00        2.11        None
array-examples/standard_init4_false-unreach-call_ground.i                                                                                                                                                        unknown                       5.21        2.14        None
array-examples/standard_init5_false-unreach-call_ground.i                                                                                                                                                        unknown                       5.19        2.17        None
array-examples/standard_init6_false-unreach-call_ground.i                                                                                                                                                        unknown                       5.08        2.13        None
array-examples/standard_init7_false-unreach-call_ground.i                                                                                                                                                        unknown                       5.18        2.18        None
array-examples/standard_init8_false-unreach-call_ground.i                                                                                                                                                        unknown                       5.22        2.19        None
array-examples/standard_init9_false-unreach-call_ground.i                                                                                                                                                        unknown                       5.25        2.19        None
array-examples/standard_minInArray_false-unreach-call_ground.i                                                                                                                                                   unknown                       5.30        2.18        None
array-examples/standard_partition_false-unreach-call_ground.i                                                                                                                                                    unknown                       7.39        3.60        None
array-examples/standard_running_false-unreach-call.i                                                                                                                                                             unknown                       6.17        2.84        None
array-examples/data_structures_set_multi_proc_trivial_true-unreach-call_ground_true-termination.i                                                                                                                unknown                       6.97        3.12        None
array-examples/data_structures_set_multi_proc_true-unreach-call_ground.i                                                                                                                                         unknown                       6.26        3.00        None
array-examples/relax_true-unreach-call.i                                                                                                                                                                         unknown                       4.73        1.72        None
array-examples/sanfoundry_02_true-unreach-call_ground.i                                                                                                                                                          unknown                       5.14        2.16        None
array-examples/sanfoundry_10_true-unreach-call_ground.i                                                                                                                                                          unknown                       3.69        1.36        None
array-examples/sanfoundry_24_true-unreach-call_true-termination.i                                                                                                                                                unknown                       5.33        2.19        None
array-examples/sanfoundry_27_true-unreach-call_ground.i                                                                                                                                                          unknown                       5.38        2.18        None
array-examples/sanfoundry_43_true-unreach-call_ground.i                                                                                                                                                          true                          3.46        1.28        None
array-examples/sorting_bubblesort_true-unreach-call_ground.i                                                                                                                                                     unknown                       5.35        2.23        None
array-examples/sorting_selectionsort_true-unreach-call_ground.i                                                                                                                                                  unknown                       5.56        2.27        None
array-examples/standard_compareModified_true-unreach-call_ground.i                                                                                                                                               unknown                       7.52        3.49        None
array-examples/standard_compare_true-unreach-call_ground.i                                                                                                                                                       unknown                       6.15        2.86        None
array-examples/standard_copy1_true-unreach-call_ground.i                                                                                                                                                         unknown                       6.07        2.87        None
array-examples/standard_copy2_true-unreach-call_ground.i                                                                                                                                                         unknown                       7.19        3.57        None
array-examples/standard_copy3_true-unreach-call_ground.i                                                                                                                                                         unknown                       7.51        4.10        None
array-examples/standard_copy4_true-unreach-call_ground.i                                                                                                                                                         unknown                       8.78        4.89        None
array-examples/standard_copy5_true-unreach-call_ground.i                                                                                                                                                         unknown                       9.54        5.43        None
array-examples/standard_copy6_true-unreach-call_ground.i                                                                                                                                                         unknown                      10.75        6.37        None
array-examples/standard_copy7_true-unreach-call_ground.i                                                                                                                                                         unknown                      11.03        6.86        None
array-examples/standard_copy8_true-unreach-call_ground.i                                                                                                                                                         unknown                      12.33        7.64        None
array-examples/standard_copy9_true-unreach-call_ground.i                                                                                                                                                         unknown                      12.39        8.09        None
array-examples/standard_copyInitSum2_true-unreach-call_ground.i                                                                                                                                                  unknown                       6.35        2.90        None
array-examples/standard_copyInitSum3_true-unreach-call_ground.i                                                                                                                                                  unknown                       6.10        2.84        None
array-examples/standard_copyInitSum_true-unreach-call_ground.i                                                                                                                                                   unknown                       6.13        2.83        None
array-examples/standard_copyInit_true-unreach-call_ground.i                                                                                                                                                      unknown                       6.01        2.78        None
array-examples/standard_find_true-unreach-call_ground.i                                                                                                                                                          unknown                       4.95        2.10        None
array-examples/standard_init1_true-unreach-call_ground.i                                                                                                                                                         unknown                       5.26        2.17        None
array-examples/standard_init2_true-unreach-call_ground.i                                                                                                                                                         unknown                       5.43        2.22        None
array-examples/standard_init3_true-unreach-call_ground.i                                                                                                                                                         unknown                       5.33        2.18        None
array-examples/standard_init4_true-unreach-call_ground.i                                                                                                                                                         unknown                       5.24        2.18        None
array-examples/standard_init5_true-unreach-call_ground.i                                                                                                                                                         unknown                       5.15        2.14        None
array-examples/standard_init6_true-unreach-call_ground.i                                                                                                                                                         unknown                       5.35        2.22        None
array-examples/standard_init7_true-unreach-call_ground.i                                                                                                                                                         unknown                       5.27        2.16        None
array-examples/standard_init8_true-unreach-call_ground.i                                                                                                                                                         unknown                       5.25        2.09        None
array-examples/standard_init9_true-unreach-call_ground.i                                                                                                                                                         unknown                       5.17        2.14        None
array-examples/standard_maxInArray_true-unreach-call_ground.i                                                                                                                                                    unknown                       5.14        2.13        None
array-examples/standard_minInArray_true-unreach-call_ground.i                                                                                                                                                    unknown                       5.08        2.10        None
array-examples/standard_palindrome_true-unreach-call_ground.i                                                                                                                                                    unknown                       5.30        2.28        None
array-examples/standard_partial_init_true-unreach-call_ground.i                                                                                                                                                  unknown                       6.98        3.49        None
array-examples/standard_partition_original_true-unreach-call_ground.i                                                                                                                                            unknown                       6.93        3.44        None
array-examples/standard_partition_true-unreach-call_ground.i                                                                                                                                                     unknown                       6.65        2.88        None
array-examples/standard_password_true-unreach-call_ground.i                                                                                                                                                      unknown                       6.26        2.88        None
array-examples/standard_reverse_true-unreach-call_ground.i                                                                                                                                                       unknown                       6.07        2.87        None
array-examples/standard_running_true-unreach-call.i                                                                                                                                                              unknown                       6.05        2.84        None
array-examples/standard_sentinel_true-unreach-call_true-termination.i                                                                                                                                            unknown                       5.24        2.22        None
array-examples/standard_seq_init_true-unreach-call_ground.i                                                                                                                                                      unknown                       5.25        2.13        None
array-examples/standard_strcmp_true-unreach-call_ground.i                                                                                                                                                        unknown                       6.27        2.84        None
array-examples/standard_strcpy_original_true-unreach-call.i                                                                                                                                                      unknown                       6.16        2.83        None
array-examples/standard_strcpy_true-unreach-call_ground.i                                                                                                                                                        unknown                       5.88        2.82        None
array-examples/standard_two_index_01_true-unreach-call.i                                                                                                                                                         unknown                       4.25        1.54        None
array-examples/standard_two_index_02_true-unreach-call.i                                                                                                                                                         unknown                       5.81        2.77        None
array-examples/standard_two_index_03_true-unreach-call.i                                                                                                                                                         unknown                       4.35        1.55        None
array-examples/standard_two_index_04_true-unreach-call.i                                                                                                                                                         unknown                       6.12        2.85        None
array-examples/standard_two_index_05_true-unreach-call.i                                                                                                                                                         unknown                       6.10        2.90        None
array-examples/standard_two_index_06_true-unreach-call.i                                                                                                                                                         unknown                       4.28        1.53        None
array-examples/standard_two_index_07_true-unreach-call.i                                                                                                                                                         unknown                       5.92        2.78        None
array-examples/standard_two_index_08_true-unreach-call.i                                                                                                                                                         unknown                       6.00        2.80        None
array-examples/standard_two_index_09_true-unreach-call.i                                                                                                                                                         unknown                       5.84        2.82        None
array-examples/standard_vararg_true-unreach-call_ground_true-termination.i                                                                                                                                       unknown                       5.36        2.17        None
array-examples/standard_vector_difference_true-unreach-call_ground.i                                                                                                                                             unknown                       6.80        3.40        None
array-industry-pattern/array_assert_loop_dep_false-unreach-call_true-termination.i                                                                                                                               unknown                       5.34        2.18        None
array-industry-pattern/array_of_struct_loop_dep_false-unreach-call.i                                                                                                                                             TIMEOUT                     902.85      897.69        None
array-industry-pattern/array_ptr_single_elem_init_false-unreach-call_true-termination.i                                                                                                                          unknown                       6.28        2.92        None
array-industry-pattern/array_range_init_false-unreach-call.i                                                                                                                                                     TIMEOUT                     902.78      898.85        None
array-industry-pattern/array_single_elem_init_false-unreach-call_true-termination.i                                                                                                                              unknown                       6.80        3.56        None
array-industry-pattern/check_removal_from_set_after_insertion_false-unreach-call.i                                                                                                                               unknown                       3.84        1.40        None
array-industry-pattern/array_monotonic_true-unreach-call_true-termination.i                                                                                                                                      unknown                       6.02        2.88        None
array-industry-pattern/array_mul_init_true-unreach-call_true-termination.i                                                                                                                                       unknown                       6.09        2.85        None
array-industry-pattern/array_of_struct_break_true-unreach-call.i                                                                                                                                                 TIMEOUT                     902.85      898.01        None
array-industry-pattern/array_of_struct_ptr_cond_init_true-unreach-call.i                                                                                                                                         TIMEOUT                     902.90      897.71        None
array-industry-pattern/array_of_struct_ptr_flag_init_true-unreach-call.i                                                                                                                                         unknown                       6.27        3.00        None
array-industry-pattern/array_of_struct_ptr_monotonic_true-unreach-call.i                                                                                                                                         TIMEOUT                     902.89      897.81        None
array-industry-pattern/array_of_struct_ptr_mul_init_true-unreach-call.i                                                                                                                                          TIMEOUT                     904.32      898.25        None
array-industry-pattern/array_of_struct_single_elem_init_true-unreach-call.i                                                                                                                                      TIMEOUT                     905.15      900.14        None
array-industry-pattern/array_ptr_partial_init_true-unreach-call.i                                                                                                                                                TIMEOUT                     902.80      898.91        None
array-industry-pattern/array_ptr_single_elem_init_true-unreach-call.i                                                                                                                                            TIMEOUT                     902.93      898.07        None
array-industry-pattern/array_shadowinit_true-unreach-call_true-termination.i                                                                                                                                     unknown                       3.88        1.58        None
reducercommutativity/rangesum05_false-unreach-call_true-termination.i                                                                                                                                            unknown                       3.77        1.41        None
reducercommutativity/rangesum10_false-unreach-call_true-termination.i                                                                                                                                            unknown                       3.80        1.51        None
reducercommutativity/rangesum20_false-unreach-call.i                                                                                                                                                             unknown                       4.00        1.64        None
reducercommutativity/rangesum40_false-unreach-call.i                                                                                                                                                             unknown                       3.75        1.39        None
reducercommutativity/rangesum60_false-unreach-call.i                                                                                                                                                             unknown                       3.66        1.35        None
reducercommutativity/rangesum_false-unreach-call_true-termination.i                                                                                                                                              unknown                       4.11        1.44        None
reducercommutativity/avg05_true-unreach-call_true-termination.i                                                                                                                                                  unknown                       3.72        1.36        None
reducercommutativity/avg10_true-unreach-call_true-termination.i                                                                                                                                                  unknown                       3.86        1.38        None
reducercommutativity/avg20_true-unreach-call.i                                                                                                                                                                   unknown                       3.81        1.42        None
reducercommutativity/avg40_true-unreach-call.i                                                                                                                                                                   unknown                       3.95        1.48        None
reducercommutativity/avg60_true-unreach-call.i                                                                                                                                                                   unknown                       3.83        1.39        None
