   BENCHMARK INFORMATION
benchmark definition:    /u/wel2vw/cpa-cegar.xml
name:                    cpa-cegar
run sets:                sv-comp18
date:                    Wed, 2021-09-22 16:01:03 EDT
tool:                    CPAchecker 1.9
tool executable:         ./cpa.sh
options:                 -valueAnalysis-Cegar -heap 10000M -benchmark -timelimit 900s
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             8
hardware requirements:
- cpu cores:             8
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    doppio03
os:                      Linux-3.10.0-1127.el7.x86_64-x86_64-with-glibc2.17
cpu:                     Intel Xeon Gold 6130 CPU @ 2.10GHz
- cores:                 64
- max frequency:         3700.0 MHz
- turbo boost enabled:   True
ram:                     134655.91808 MB
------------------------------------------------------------



sv-comp18
Run set 1 of 1 with options '-valueAnalysis-Cegar -heap 10000M -benchmark -timelimit 900s' and propertyfile 'None'

inputfile                                                                                                                                                                                                        status                    cpu time   wall time        host
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
array-examples/data_structures_set_multi_proc_false-unreach-call_ground.i                                                                                                                                        TIMEOUT                     901.61      858.89        None
array-examples/sorting_bubblesort_false-unreach-call2_ground.i                                                                                                                                                   TIMEOUT                     900.88      874.26        None
array-examples/sorting_bubblesort_false-unreach-call_ground.i                                                                                                                                                    TIMEOUT                     900.85      873.86        None
array-examples/sorting_selectionsort_false-unreach-call2_ground.i                                                                                                                                                TIMEOUT                     900.97      872.02        None
array-examples/sorting_selectionsort_false-unreach-call_ground.i                                                                                                                                                 TIMEOUT                     900.99      871.95        None
array-examples/standard_allDiff2_false-unreach-call_ground.i                                                                                                                                                     TIMEOUT                     901.26      869.10        None
array-examples/standard_copy1_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.92      874.73        None
array-examples/standard_copy2_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.07      871.89        None
array-examples/standard_copy3_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.99      872.14        None
array-examples/standard_copy4_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.80      876.28        None
array-examples/standard_copy5_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.92      873.61        None
array-examples/standard_copy6_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.95      871.83        None
array-examples/standard_copy7_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.72      876.34        None
array-examples/standard_copy8_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.90      873.37        None
array-examples/standard_copy9_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.93      872.52        None
array-examples/standard_copyInitSum2_false-unreach-call_ground.i                                                                                                                                                 TIMEOUT                     900.90      872.09        None
array-examples/standard_init1_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.96      870.91        None
array-examples/standard_init2_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.73      875.22        None
array-examples/standard_init3_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.89      874.55        None
array-examples/standard_init4_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.82      875.15        None
array-examples/standard_init5_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.75      875.66        None
array-examples/standard_init6_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.87      873.18        None
array-examples/standard_init7_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.05      871.28        None
array-examples/standard_init8_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.92      871.42        None
array-examples/standard_init9_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.95      874.04        None
array-examples/standard_minInArray_false-unreach-call_ground.i                                                                                                                                                   TIMEOUT                     901.05      872.21        None
array-examples/standard_partition_false-unreach-call_ground.i                                                                                                                                                    TIMEOUT                     901.12      871.77        None
array-examples/standard_running_false-unreach-call.i                                                                                                                                                             TIMEOUT                     900.97      873.45        None
array-examples/data_structures_set_multi_proc_trivial_true-unreach-call_ground_true-termination.i                                                                                                                true                          3.62        1.40        None
array-examples/data_structures_set_multi_proc_true-unreach-call_ground.i                                                                                                                                         TIMEOUT                     901.82      861.29        None
array-examples/relax_true-unreach-call.i                                                                                                                                                                         unknown                       6.92        2.63        None
array-examples/sanfoundry_02_true-unreach-call_ground.i                                                                                                                                                          TIMEOUT                     901.11      869.78        None
array-examples/sanfoundry_10_true-unreach-call_ground.i                                                                                                                                                          TIMEOUT                     900.70      876.70        None
array-examples/sanfoundry_24_true-unreach-call_true-termination.i                                                                                                                                                unknown                       7.62        3.30        None
