   BENCHMARK INFORMATION
benchmark definition:    /u/wel2vw/cpa-symex.xml
name:                    cpa-symex
run sets:                sv-comp18
date:                    Wed, 2021-09-22 16:02:50 EDT
tool:                    CPAchecker 1.9
tool executable:         ./cpa.sh
options:                 -symbolicExecution -heap 10000M -benchmark -timelimit 900s
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             8
hardware requirements:
- cpu cores:             8
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    doppio04
os:                      Linux-3.10.0-1127.el7.x86_64-x86_64-with-glibc2.17
cpu:                     Intel Xeon Gold 6130 CPU @ 2.10GHz
- cores:                 64
- max frequency:         3700.0 MHz
- turbo boost enabled:   True
ram:                     134655.91808 MB
------------------------------------------------------------



sv-comp18
Run set 1 of 1 with options '-symbolicExecution -heap 10000M -benchmark -timelimit 900s' and propertyfile 'None'

inputfile                                                                                                                                                                                                        status                    cpu time   wall time        host
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
array-examples/data_structures_set_multi_proc_false-unreach-call_ground.i                                                                                                                                        TIMEOUT                     902.07      517.21        None
array-examples/sorting_bubblesort_false-unreach-call2_ground.i                                                                                                                                                   TIMEOUT                     901.03      870.78        None
array-examples/sorting_bubblesort_false-unreach-call_ground.i                                                                                                                                                    TIMEOUT                     900.93      872.46        None
array-examples/sorting_selectionsort_false-unreach-call2_ground.i                                                                                                                                                TIMEOUT                     901.08      869.78        None
array-examples/sorting_selectionsort_false-unreach-call_ground.i                                                                                                                                                 TIMEOUT                     900.93      873.62        None
array-examples/standard_allDiff2_false-unreach-call_ground.i                                                                                                                                                     TIMEOUT                     900.91      873.64        None
array-examples/standard_copy1_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     938.91      913.23        None
array-examples/standard_copy2_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     937.10      912.44        None
array-examples/standard_copy3_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     936.65      912.04        None
array-examples/standard_copy4_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     936.98      911.08        None
array-examples/standard_copy5_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     938.40      912.26        None
array-examples/standard_copy6_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     936.25      911.54        None
array-examples/standard_copy7_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     938.01      913.00        None
array-examples/standard_copy8_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     937.02      911.83        None
array-examples/standard_copy9_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     938.16      913.06        None
array-examples/standard_copyInitSum2_false-unreach-call_ground.i                                                                                                                                                 TIMEOUT                     901.09      896.40        None
array-examples/standard_init1_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.23      896.82        None
array-examples/standard_init2_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.36      896.96        None
array-examples/standard_init3_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.30      896.74        None
array-examples/standard_init4_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.29      896.46        None
array-examples/standard_init5_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.36      897.07        None
array-examples/standard_init6_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.05      896.74        None
array-examples/standard_init7_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.22      896.85        None
array-examples/standard_init8_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.24      896.87        None
array-examples/standard_init9_false-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.15      896.77        None
array-examples/standard_minInArray_false-unreach-call_ground.i                                                                                                                                                   TIMEOUT                     901.11      869.09        None
array-examples/standard_partition_false-unreach-call_ground.i                                                                                                                                                    TIMEOUT                     901.19      868.84        None
array-examples/standard_running_false-unreach-call.i                                                                                                                                                             TIMEOUT                     901.15      867.91        None
array-examples/data_structures_set_multi_proc_trivial_true-unreach-call_ground_true-termination.i                                                                                                                TIMEOUT                     900.98      870.86        None
array-examples/data_structures_set_multi_proc_true-unreach-call_ground.i                                                                                                                                         TIMEOUT                     901.36      578.85        None
array-examples/relax_true-unreach-call.i                                                                                                                                                                         TIMEOUT                     901.52      526.86        None
array-examples/sanfoundry_02_true-unreach-call_ground.i                                                                                                                                                          TIMEOUT                     901.07      869.60        None
array-examples/sanfoundry_10_true-unreach-call_ground.i                                                                                                                                                          TIMEOUT                     900.85      881.43        None
array-examples/sanfoundry_24_true-unreach-call_true-termination.i                                                                                                                                                TIMEOUT                     908.62      529.67        None
array-examples/sanfoundry_27_true-unreach-call_ground.i                                                                                                                                                          TIMEOUT                     901.30      865.95        None
array-examples/sanfoundry_43_true-unreach-call_ground.i                                                                                                                                                          TIMEOUT                     900.91      896.00        None
array-examples/sorting_bubblesort_true-unreach-call_ground.i                                                                                                                                                     TIMEOUT                     901.02      869.92        None
array-examples/sorting_selectionsort_true-unreach-call_ground.i                                                                                                                                                  TIMEOUT                     901.06      873.49        None
array-examples/standard_compareModified_true-unreach-call_ground.i                                                                                                                                               TIMEOUT                     901.09      892.84        None
array-examples/standard_compare_true-unreach-call_ground.i                                                                                                                                                       TIMEOUT                     900.87      871.90        None
array-examples/standard_copy1_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     923.65      898.69        None
array-examples/standard_copy2_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     922.93      899.16        None
array-examples/standard_copy3_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     922.56      898.34        None
array-examples/standard_copy4_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     923.02      900.10        None
array-examples/standard_copy5_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     923.22      898.77        None
array-examples/standard_copy6_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     923.32      900.09        None
array-examples/standard_copy7_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     922.53      898.81        None
array-examples/standard_copy8_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     923.19      898.83        None
array-examples/standard_copy9_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     921.51      897.27        None
array-examples/standard_copyInitSum2_true-unreach-call_ground.i                                                                                                                                                  TIMEOUT                     901.11      896.27        None
array-examples/standard_copyInitSum3_true-unreach-call_ground.i                                                                                                                                                  TIMEOUT                     901.25      897.27        None
array-examples/standard_copyInitSum_true-unreach-call_ground.i                                                                                                                                                   TIMEOUT                     901.31      896.71        None
array-examples/standard_copyInit_true-unreach-call_ground.i                                                                                                                                                      TIMEOUT                     900.99      896.61        None
array-examples/standard_find_true-unreach-call_ground.i                                                                                                                                                          TIMEOUT                     901.33      896.63        None
array-examples/standard_init1_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     901.15      896.45        None
array-examples/standard_init2_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     901.05      896.77        None
array-examples/standard_init3_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     901.28      896.71        None
array-examples/standard_init4_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     901.17      896.93        None
array-examples/standard_init5_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     901.18      896.73        None
array-examples/standard_init6_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     901.35      896.52        None
array-examples/standard_init7_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     901.04      896.75        None
array-examples/standard_init8_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     901.06      896.85        None
array-examples/standard_init9_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     901.16      896.71        None
array-examples/standard_maxInArray_true-unreach-call_ground.i                                                                                                                                                    TIMEOUT                     901.04      870.65        None
array-examples/standard_minInArray_true-unreach-call_ground.i                                                                                                                                                    TIMEOUT                     901.21      867.14        None
array-examples/standard_palindrome_true-unreach-call_ground.i                                                                                                                                                    TIMEOUT                     900.93      896.28        None
array-examples/standard_partial_init_true-unreach-call_ground.i                                                                                                                                                  TIMEOUT                     900.82      874.83        None
array-examples/standard_partition_original_true-unreach-call_ground.i                                                                                                                                            TIMEOUT                     901.11      870.09        None
array-examples/standard_partition_true-unreach-call_ground.i                                                                                                                                                     TIMEOUT                     901.13      869.46        None
array-examples/standard_password_true-unreach-call_ground.i                                                                                                                                                      TIMEOUT                     900.94      871.70        None
array-examples/standard_reverse_true-unreach-call_ground.i                                                                                                                                                       TIMEOUT                     901.02      896.79        None
array-examples/standard_running_true-unreach-call.i                                                                                                                                                              TIMEOUT                     901.21      868.03        None
array-examples/standard_sentinel_true-unreach-call_true-termination.i                                                                                                                                            TIMEOUT                     900.12      787.35        None
array-examples/standard_seq_init_true-unreach-call_ground.i                                                                                                                                                      TIMEOUT                     900.92      896.05        None
array-examples/standard_strcmp_true-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.92      872.21        None
array-examples/standard_strcpy_original_true-unreach-call.i                                                                                                                                                      TIMEOUT                     919.91      897.00        None
array-examples/standard_strcpy_true-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     920.60      895.56        None
array-examples/standard_two_index_01_true-unreach-call.i                                                                                                                                                         TIMEOUT                     901.12      896.36        None
array-examples/standard_two_index_02_true-unreach-call.i                                                                                                                                                         TIMEOUT                     901.33      896.34        None
array-examples/standard_two_index_03_true-unreach-call.i                                                                                                                                                         TIMEOUT                     901.03      896.28        None
array-examples/standard_two_index_04_true-unreach-call.i                                                                                                                                                         TIMEOUT                     901.33      896.88        None
array-examples/standard_two_index_05_true-unreach-call.i                                                                                                                                                         TIMEOUT                     900.98      896.60        None
array-examples/standard_two_index_06_true-unreach-call.i                                                                                                                                                         TIMEOUT                     901.27      896.43        None
array-examples/standard_two_index_07_true-unreach-call.i                                                                                                                                                         TIMEOUT                     901.07      896.90        None
array-examples/standard_two_index_08_true-unreach-call.i                                                                                                                                                         TIMEOUT                     901.24      896.78        None
array-examples/standard_two_index_09_true-unreach-call.i                                                                                                                                                         TIMEOUT                     901.01      896.37        None
array-examples/standard_vararg_true-unreach-call_ground_true-termination.i                                                                                                                                       TIMEOUT                     900.23      657.30        None
array-examples/standard_vector_difference_true-unreach-call_ground.i                                                                                                                                             TIMEOUT                     900.92      896.58        None
array-industry-pattern/array_assert_loop_dep_false-unreach-call_true-termination.i                                                                                                                               TIMEOUT                     901.23      897.04        None
array-industry-pattern/array_of_struct_loop_dep_false-unreach-call.i                                                                                                                                             TIMEOUT                     901.14      896.28        None
array-industry-pattern/array_ptr_single_elem_init_false-unreach-call_true-termination.i                                                                                                                          TIMEOUT                     901.62      728.57        None
array-industry-pattern/array_range_init_false-unreach-call.i                                                                                                                                                     TIMEOUT                     901.10      894.56        None
array-industry-pattern/array_single_elem_init_false-unreach-call_true-termination.i                                                                                                                              TIMEOUT                     901.65      711.89        None
array-industry-pattern/check_removal_from_set_after_insertion_false-unreach-call.i                                                                                                                               TIMEOUT                     905.36      572.43        None
array-industry-pattern/array_monotonic_true-unreach-call_true-termination.i                                                                                                                                      TIMEOUT                     901.35      772.77        None
array-industry-pattern/array_mul_init_true-unreach-call_true-termination.i                                                                                                                                       TIMEOUT                     901.02      896.47        None
array-industry-pattern/array_of_struct_break_true-unreach-call.i                                                                                                                                                 TIMEOUT                     901.37      894.25        None
array-industry-pattern/array_of_struct_ptr_cond_init_true-unreach-call.i                                                                                                                                         TIMEOUT                     901.17      894.64        None
array-industry-pattern/array_of_struct_ptr_flag_init_true-unreach-call.i                                                                                                                                         TIMEOUT                     901.38      896.21        None
array-industry-pattern/array_of_struct_ptr_monotonic_true-unreach-call.i                                                                                                                                         TIMEOUT                     901.20      894.74        None
array-industry-pattern/array_of_struct_ptr_mul_init_true-unreach-call.i                                                                                                                                          TIMEOUT                     901.42      895.78        None
array-industry-pattern/array_of_struct_single_elem_init_true-unreach-call.i                                                                                                                                      TIMEOUT                     901.02      867.32        None
array-industry-pattern/array_ptr_partial_init_true-unreach-call.i                                                                                                                                                TIMEOUT                     901.14      895.46        None
array-industry-pattern/array_ptr_single_elem_init_true-unreach-call.i                                                                                                                                            TIMEOUT                     901.34      675.84        None
array-industry-pattern/array_shadowinit_true-unreach-call_true-termination.i                                                                                                                                     TIMEOUT                     900.78      659.32        None
reducercommutativity/rangesum05_false-unreach-call_true-termination.i                                                                                                                                            false(unreach-call)           7.03        2.29        None
reducercommutativity/rangesum10_false-unreach-call_true-termination.i                                                                                                                                            false(unreach-call)           9.01        2.60        None
reducercommutativity/rangesum20_false-unreach-call.i                                                                                                                                                             false(unreach-call)          14.26        4.34        None
