   BENCHMARK INFORMATION
benchmark definition:    /u/wel2vw/cpa-symexA.xml
name:                    cpa-symexA
run sets:                sv-comp18
date:                    Sun, 2021-09-26 10:48:10 EDT
tool:                    CPAchecker 1.9
tool executable:         ./cpa.sh
options:                 -symbolicExecution -heap 10000M -benchmark -timelimit 900s
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             8
hardware requirements:
- cpu cores:             8
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    doppio01
os:                      Linux-3.10.0-1127.el7.x86_64-x86_64-with-glibc2.17
cpu:                     Intel Xeon Gold 6130 CPU @ 2.10GHz
- cores:                 64
- max frequency:         3700.0 MHz
- turbo boost enabled:   True
ram:                     134655.91398399998 MB
------------------------------------------------------------



sv-comp18
Run set 1 of 1 with options '-symbolicExecution -heap 10000M -benchmark -timelimit 900s' and propertyfile 'None'

inputfile                                                                                               status                    cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------------------------------------
heap-manipulation/bubble_sort_linux_false-unreach-call_false-valid-memcleanup.i                         TIMEOUT                     901.52      852.09        None
heap-manipulation/dll_of_dll_false-unreach-call_false-valid-memcleanup.i                                ERROR (recursion)             3.97        1.46        None
heap-manipulation/merge_sort_false-unreach-call_false-valid-memcleanup.i                                false(unreach-call)           8.21        2.54        None
heap-manipulation/sll_to_dll_rev_false-unreach-call_false-valid-memcleanup.i                            false(unreach-call)           7.09        2.22        None
heap-manipulation/tree_false-unreach-call_false-valid-deref.i                                           false(unreach-call)           5.90        2.06        None
heap-manipulation/tree_false-unreach-call_false-valid-memcleanup.i                                      false(unreach-call)           5.70        1.95        None
heap-manipulation/bubble_sort_linux_true-unreach-call_true-valid-memsafety.i                            TIMEOUT                     901.53      852.11        None
heap-manipulation/dancing_true-unreach-call_false-valid-memtrack.i                                      ERROR (recursion)             4.27        1.61        None
heap-manipulation/dll_of_dll_true-unreach-call_true-valid-memsafety.i                                   ERROR (recursion)             4.07        1.43        None
heap-manipulation/merge_sort_true-unreach-call_true-valid-memsafety.i                                   TIMEOUT                     900.67      819.03        None
heap-manipulation/sll_to_dll_rev_true-unreach-call_true-valid-memsafety.i                               TIMEOUT                     901.32      816.75        None
heap-manipulation/tree_true-unreach-call.i                                                              false(unreach-call)           6.95        2.35        None
list-properties/alternating_list_false-unreach-call_false-valid-memcleanup.i                            false(unreach-call)           6.45        2.08        None
list-properties/list_false-unreach-call_false-valid-memcleanup.i                                        false(unreach-call)          17.47        4.53        None
