   BENCHMARK INFORMATION
benchmark definition:    /u/wel2vw/cpa-symex.xml
name:                    cpa-symex
run sets:                sv-comp18
date:                    Sun, 2021-09-26 11:06:48 EDT
tool:                    CPAchecker 1.9
tool executable:         ./cpa.sh
options:                 -symbolicExecution -heap 10000M -benchmark -timelimit 900s
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             8
hardware requirements:
- cpu cores:             8
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    doppio04
os:                      Linux-3.10.0-1127.el7.x86_64-x86_64-with-glibc2.17
cpu:                     Intel Xeon Gold 6130 CPU @ 2.10GHz
- cores:                 64
- max frequency:         3700.0 MHz
- turbo boost enabled:   True
ram:                     134655.91808 MB
------------------------------------------------------------



sv-comp18
Run set 1 of 1 with options '-symbolicExecution -heap 10000M -benchmark -timelimit 900s' and propertyfile 'None'

inputfile                                                                            status                    cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------
eca-rers2012/Problem01_label15_false-unreach-call_false-termination.c                TIMEOUT                     903.93      611.01        None
eca-rers2012/Problem01_label20_false-unreach-call_false-termination.c                TIMEOUT                     906.83      610.40        None
eca-rers2012/Problem01_label21_false-unreach-call_false-termination.c                TIMEOUT                     904.20      615.73        None
eca-rers2012/Problem01_label32_false-unreach-call_false-termination.c                TIMEOUT                     906.93      616.03        None
eca-rers2012/Problem01_label33_false-unreach-call_false-termination.c                TIMEOUT                     902.47      614.32        None
eca-rers2012/Problem01_label35_false-unreach-call_false-termination.c                TIMEOUT                     902.75      618.58        None
eca-rers2012/Problem01_label37_false-unreach-call_false-termination.c                TIMEOUT                     906.47      610.99        None
eca-rers2012/Problem01_label38_false-unreach-call_false-termination.c                TIMEOUT                     903.35      606.26        None
eca-rers2012/Problem01_label44_false-unreach-call_false-termination.c                false(unreach-call)         325.18      268.13        None
eca-rers2012/Problem01_label47_false-unreach-call_false-termination.c                TIMEOUT                     902.66      613.03        None
eca-rers2012/Problem01_label50_false-unreach-call_false-termination.c                false(unreach-call)         747.63      518.92        None
eca-rers2012/Problem01_label56_false-unreach-call_false-termination.c                TIMEOUT                     904.35      607.20        None
eca-rers2012/Problem01_label57_false-unreach-call_false-termination.c                TIMEOUT                     906.05      611.50        None
